index,MainLanguage,Category,Filename,SentenceIndex,Sentence,Word,wordLength,wordIsEN,sentenceIsEN,wordIsDE,sentenceIsDE,wordIsFR,sentenceIsFR,wordIsIT,sentenceIsIT
0,de,Expressions,de_Expressions,0,"No problem, ich kann das erledigen.",No,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,de,Expressions,de_Expressions,0,"No problem, ich kann das erledigen.",problem,7,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2,de,Expressions,de_Expressions,0,"No problem, ich kann das erledigen.",ich,3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
3,de,Expressions,de_Expressions,0,"No problem, ich kann das erledigen.",kann,4,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
4,de,Expressions,de_Expressions,0,"No problem, ich kann das erledigen.",das,3,0.0,0.0,0.86,1.0,0.0,0.0,0.14,0.0
5,de,Expressions,de_Expressions,0,"No problem, ich kann das erledigen.",erledigen,9,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
6,de,Expressions,de_Expressions,1,Das neue Auto von Lisa ist echt cool!,Das,3,0.0,0.0,1.0,0.71,0.0,0.14,0.0,0.14
7,de,Expressions,de_Expressions,1,Das neue Auto von Lisa ist echt cool!,neue,4,0.0,0.0,0.0,0.71,0.86,0.14,0.14,0.14
8,de,Expressions,de_Expressions,1,Das neue Auto von Lisa ist echt cool!,Auto,4,0.0,0.0,1.0,0.71,0.0,0.14,0.0,0.14
9,de,Expressions,de_Expressions,1,Das neue Auto von Lisa ist echt cool!,von,3,0.0,0.0,1.0,0.71,0.0,0.14,0.0,0.14
10,de,Expressions,de_Expressions,1,Das neue Auto von Lisa ist echt cool!,Lisa,4,0.0,0.0,0.71,0.71,0.29,0.14,0.0,0.14
11,de,Expressions,de_Expressions,1,Das neue Auto von Lisa ist echt cool!,ist,3,0.0,0.0,1.0,0.71,0.0,0.14,0.0,0.14
12,de,Expressions,de_Expressions,1,Das neue Auto von Lisa ist echt cool!,echt,4,0.0,0.0,1.0,0.71,0.0,0.14,0.0,0.14
13,de,Expressions,de_Expressions,1,Das neue Auto von Lisa ist echt cool!,cool,4,0.57,0.0,0.0,0.71,0.0,0.14,0.43,0.14
14,de,Expressions,de_Expressions,2,"Bye-bye, bis später!",Bye,3,1.0,0.43,0.0,0.57,0.0,0.0,0.0,0.0
15,de,Expressions,de_Expressions,2,"Bye-bye, bis später!",bye,3,1.0,0.43,0.0,0.57,0.0,0.0,0.0,0.0
16,de,Expressions,de_Expressions,2,"Bye-bye, bis später!",bis,3,0.0,0.43,1.0,0.57,0.0,0.0,0.0,0.0
17,de,Expressions,de_Expressions,2,"Bye-bye, bis später!",später,6,0.0,0.43,1.0,0.57,0.0,0.0,0.0,0.0
18,de,Expressions,de_Expressions,3,"Okay, wir treffen uns um acht Uhr.",Okay,4,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
19,de,Expressions,de_Expressions,3,"Okay, wir treffen uns um acht Uhr.",wir,3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
20,de,Expressions,de_Expressions,3,"Okay, wir treffen uns um acht Uhr.",treffen,7,0.86,0.0,0.14,1.0,0.0,0.0,0.0,0.0
21,de,Expressions,de_Expressions,3,"Okay, wir treffen uns um acht Uhr.",uns,3,0.0,0.0,0.29,1.0,0.71,0.0,0.0,0.0
22,de,Expressions,de_Expressions,3,"Okay, wir treffen uns um acht Uhr.",um,2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
23,de,Expressions,de_Expressions,3,"Okay, wir treffen uns um acht Uhr.",acht,4,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
24,de,Expressions,de_Expressions,3,"Okay, wir treffen uns um acht Uhr.",Uhr,3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
