index,MainLanguage,Category,Filename,SentenceIndex,Sentence,Word_x,wordLength,wordIsEN,sentenceIsEN,wordIsDE,sentenceIsDE,wordIsFR,sentenceIsFR,wordIsIT,sentenceIsIT,Word_y,Language
0,en,Gastronomy,en_Gastronomy,0,"Gastronomy is a captivating art form that transcends borders, seamlessly blending flavors, techniques, and culinary traditions from around the world.",Gastronomy,10,0.43,1.0,0.0,0.0,0.0,0.0,0.57,0.0,Gastronomy,en
1,en,Gastronomy,en_Gastronomy,0,"Gastronomy is a captivating art form that transcends borders, seamlessly blending flavors, techniques, and culinary traditions from around the world.",is,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,is,en
2,en,Gastronomy,en_Gastronomy,0,"Gastronomy is a captivating art form that transcends borders, seamlessly blending flavors, techniques, and culinary traditions from around the world.",a,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,a,en
3,en,Gastronomy,en_Gastronomy,0,"Gastronomy is a captivating art form that transcends borders, seamlessly blending flavors, techniques, and culinary traditions from around the world.",captivating,11,0.86,1.0,0.0,0.0,0.0,0.0,0.14,0.0,captivating,en
4,en,Gastronomy,en_Gastronomy,0,"Gastronomy is a captivating art form that transcends borders, seamlessly blending flavors, techniques, and culinary traditions from around the world.",art,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,art,en
5,en,Gastronomy,en_Gastronomy,0,"Gastronomy is a captivating art form that transcends borders, seamlessly blending flavors, techniques, and culinary traditions from around the world.",form,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,form,en
6,en,Gastronomy,en_Gastronomy,0,"Gastronomy is a captivating art form that transcends borders, seamlessly blending flavors, techniques, and culinary traditions from around the world.",that,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,that,en
7,en,Gastronomy,en_Gastronomy,0,"Gastronomy is a captivating art form that transcends borders, seamlessly blending flavors, techniques, and culinary traditions from around the world.",transcends,10,0.86,1.0,0.0,0.0,0.14,0.0,0.0,0.0,transcends,en
8,en,Gastronomy,en_Gastronomy,0,"Gastronomy is a captivating art form that transcends borders, seamlessly blending flavors, techniques, and culinary traditions from around the world.",borders,7,0.71,1.0,0.29,0.0,0.0,0.0,0.0,0.0,borders,en
9,en,Gastronomy,en_Gastronomy,0,"Gastronomy is a captivating art form that transcends borders, seamlessly blending flavors, techniques, and culinary traditions from around the world.",seamlessly,10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,seamlessly,en
10,en,Gastronomy,en_Gastronomy,0,"Gastronomy is a captivating art form that transcends borders, seamlessly blending flavors, techniques, and culinary traditions from around the world.",blending,8,0.71,1.0,0.29,0.0,0.0,0.0,0.0,0.0,blending,en
11,en,Gastronomy,en_Gastronomy,0,"Gastronomy is a captivating art form that transcends borders, seamlessly blending flavors, techniques, and culinary traditions from around the world.",flavors,7,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,flavors,en
12,en,Gastronomy,en_Gastronomy,0,"Gastronomy is a captivating art form that transcends borders, seamlessly blending flavors, techniques, and culinary traditions from around the world.",techniques,10,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,techniques,en
13,en,Gastronomy,en_Gastronomy,0,"Gastronomy is a captivating art form that transcends borders, seamlessly blending flavors, techniques, and culinary traditions from around the world.",and,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,and,en
14,en,Gastronomy,en_Gastronomy,0,"Gastronomy is a captivating art form that transcends borders, seamlessly blending flavors, techniques, and culinary traditions from around the world.",culinary,8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,culinary,en
15,en,Gastronomy,en_Gastronomy,0,"Gastronomy is a captivating art form that transcends borders, seamlessly blending flavors, techniques, and culinary traditions from around the world.",traditions,10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,traditions,en
16,en,Gastronomy,en_Gastronomy,0,"Gastronomy is a captivating art form that transcends borders, seamlessly blending flavors, techniques, and culinary traditions from around the world.",from,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,from,en
17,en,Gastronomy,en_Gastronomy,0,"Gastronomy is a captivating art form that transcends borders, seamlessly blending flavors, techniques, and culinary traditions from around the world.",around,6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,around,en
18,en,Gastronomy,en_Gastronomy,0,"Gastronomy is a captivating art form that transcends borders, seamlessly blending flavors, techniques, and culinary traditions from around the world.",the,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,the,en
19,en,Gastronomy,en_Gastronomy,0,"Gastronomy is a captivating art form that transcends borders, seamlessly blending flavors, techniques, and culinary traditions from around the world.",world,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,world,en
20,en,Gastronomy,en_Gastronomy,1,"From the delicate elegance of French pastries like Croissants, Éclairs, and Macarons, to the hearty comfort of German sausages such as Bratwurst, Weisswurst, and Currywurst, and the mouthwatering array of Italian pasta dishes like Spaghetti Carbonara, Penne alla Vodka, and Lasagna, foreign dish names add a touch of exoticism to our palates, taking us on a culinary journey that tantalizes our taste buds and sparks our sense of adventure.",From,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,From,en
21,en,Gastronomy,en_Gastronomy,1,"From the delicate elegance of French pastries like Croissants, Éclairs, and Macarons, to the hearty comfort of German sausages such as Bratwurst, Weisswurst, and Currywurst, and the mouthwatering array of Italian pasta dishes like Spaghetti Carbonara, Penne alla Vodka, and Lasagna, foreign dish names add a touch of exoticism to our palates, taking us on a culinary journey that tantalizes our taste buds and sparks our sense of adventure.",the,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,the,en
22,en,Gastronomy,en_Gastronomy,1,"From the delicate elegance of French pastries like Croissants, Éclairs, and Macarons, to the hearty comfort of German sausages such as Bratwurst, Weisswurst, and Currywurst, and the mouthwatering array of Italian pasta dishes like Spaghetti Carbonara, Penne alla Vodka, and Lasagna, foreign dish names add a touch of exoticism to our palates, taking us on a culinary journey that tantalizes our taste buds and sparks our sense of adventure.",delicate,8,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,delicate,en
23,en,Gastronomy,en_Gastronomy,1,"From the delicate elegance of French pastries like Croissants, Éclairs, and Macarons, to the hearty comfort of German sausages such as Bratwurst, Weisswurst, and Currywurst, and the mouthwatering array of Italian pasta dishes like Spaghetti Carbonara, Penne alla Vodka, and Lasagna, foreign dish names add a touch of exoticism to our palates, taking us on a culinary journey that tantalizes our taste buds and sparks our sense of adventure.",elegance,8,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,elegance,en
24,en,Gastronomy,en_Gastronomy,1,"From the delicate elegance of French pastries like Croissants, Éclairs, and Macarons, to the hearty comfort of German sausages such as Bratwurst, Weisswurst, and Currywurst, and the mouthwatering array of Italian pasta dishes like Spaghetti Carbonara, Penne alla Vodka, and Lasagna, foreign dish names add a touch of exoticism to our palates, taking us on a culinary journey that tantalizes our taste buds and sparks our sense of adventure.",of,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,of,en
25,en,Gastronomy,en_Gastronomy,1,"From the delicate elegance of French pastries like Croissants, Éclairs, and Macarons, to the hearty comfort of German sausages such as Bratwurst, Weisswurst, and Currywurst, and the mouthwatering array of Italian pasta dishes like Spaghetti Carbonara, Penne alla Vodka, and Lasagna, foreign dish names add a touch of exoticism to our palates, taking us on a culinary journey that tantalizes our taste buds and sparks our sense of adventure.",French,6,0.57,1.0,0.43,0.0,0.0,0.0,0.0,0.0,French,en
26,en,Gastronomy,en_Gastronomy,1,"From the delicate elegance of French pastries like Croissants, Éclairs, and Macarons, to the hearty comfort of German sausages such as Bratwurst, Weisswurst, and Currywurst, and the mouthwatering array of Italian pasta dishes like Spaghetti Carbonara, Penne alla Vodka, and Lasagna, foreign dish names add a touch of exoticism to our palates, taking us on a culinary journey that tantalizes our taste buds and sparks our sense of adventure.",pastries,8,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,pastries,en
27,en,Gastronomy,en_Gastronomy,1,"From the delicate elegance of French pastries like Croissants, Éclairs, and Macarons, to the hearty comfort of German sausages such as Bratwurst, Weisswurst, and Currywurst, and the mouthwatering array of Italian pasta dishes like Spaghetti Carbonara, Penne alla Vodka, and Lasagna, foreign dish names add a touch of exoticism to our palates, taking us on a culinary journey that tantalizes our taste buds and sparks our sense of adventure.",like,4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,like,en
28,en,Gastronomy,en_Gastronomy,1,"From the delicate elegance of French pastries like Croissants, Éclairs, and Macarons, to the hearty comfort of German sausages such as Bratwurst, Weisswurst, and Currywurst, and the mouthwatering array of Italian pasta dishes like Spaghetti Carbonara, Penne alla Vodka, and Lasagna, foreign dish names add a touch of exoticism to our palates, taking us on a culinary journey that tantalizes our taste buds and sparks our sense of adventure.",Croissants,10,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Croissants,fr
29,en,Gastronomy,en_Gastronomy,1,"From the delicate elegance of French pastries like Croissants, Éclairs, and Macarons, to the hearty comfort of German sausages such as Bratwurst, Weisswurst, and Currywurst, and the mouthwatering array of Italian pasta dishes like Spaghetti Carbonara, Penne alla Vodka, and Lasagna, foreign dish names add a touch of exoticism to our palates, taking us on a culinary journey that tantalizes our taste buds and sparks our sense of adventure.",Éclairs,7,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Éclairs,fr
30,en,Gastronomy,en_Gastronomy,1,"From the delicate elegance of French pastries like Croissants, Éclairs, and Macarons, to the hearty comfort of German sausages such as Bratwurst, Weisswurst, and Currywurst, and the mouthwatering array of Italian pasta dishes like Spaghetti Carbonara, Penne alla Vodka, and Lasagna, foreign dish names add a touch of exoticism to our palates, taking us on a culinary journey that tantalizes our taste buds and sparks our sense of adventure.",and,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,and,en
31,en,Gastronomy,en_Gastronomy,1,"From the delicate elegance of French pastries like Croissants, Éclairs, and Macarons, to the hearty comfort of German sausages such as Bratwurst, Weisswurst, and Currywurst, and the mouthwatering array of Italian pasta dishes like Spaghetti Carbonara, Penne alla Vodka, and Lasagna, foreign dish names add a touch of exoticism to our palates, taking us on a culinary journey that tantalizes our taste buds and sparks our sense of adventure.",Macarons,8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Macarons,fr
32,en,Gastronomy,en_Gastronomy,1,"From the delicate elegance of French pastries like Croissants, Éclairs, and Macarons, to the hearty comfort of German sausages such as Bratwurst, Weisswurst, and Currywurst, and the mouthwatering array of Italian pasta dishes like Spaghetti Carbonara, Penne alla Vodka, and Lasagna, foreign dish names add a touch of exoticism to our palates, taking us on a culinary journey that tantalizes our taste buds and sparks our sense of adventure.",to,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,to,en
33,en,Gastronomy,en_Gastronomy,1,"From the delicate elegance of French pastries like Croissants, Éclairs, and Macarons, to the hearty comfort of German sausages such as Bratwurst, Weisswurst, and Currywurst, and the mouthwatering array of Italian pasta dishes like Spaghetti Carbonara, Penne alla Vodka, and Lasagna, foreign dish names add a touch of exoticism to our palates, taking us on a culinary journey that tantalizes our taste buds and sparks our sense of adventure.",the,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,the,en
