index,MainLanguage,Category,Filename,SentenceIndex,Sentence,Word_x,wordLength,wordIsEN,sentenceIsEN,wordIsDE,sentenceIsDE,wordIsFR,sentenceIsFR,wordIsIT,sentenceIsIT,Word_y,Language
0,en,HistoricalContext,en_HistoricalContext,0,"The Renaissance, a cultural and intellectual movement that originated in Italy during the 14th century, brought about a profound transformation in European society.",The,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,The,en
1,en,HistoricalContext,en_HistoricalContext,0,"The Renaissance, a cultural and intellectual movement that originated in Italy during the 14th century, brought about a profound transformation in European society.",Renaissance,11,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Renaissance,fr
2,en,HistoricalContext,en_HistoricalContext,0,"The Renaissance, a cultural and intellectual movement that originated in Italy during the 14th century, brought about a profound transformation in European society.",a,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,a,en
3,en,HistoricalContext,en_HistoricalContext,0,"The Renaissance, a cultural and intellectual movement that originated in Italy during the 14th century, brought about a profound transformation in European society.",cultural,8,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,cultural,en
4,en,HistoricalContext,en_HistoricalContext,0,"The Renaissance, a cultural and intellectual movement that originated in Italy during the 14th century, brought about a profound transformation in European society.",and,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,and,en
5,en,HistoricalContext,en_HistoricalContext,0,"The Renaissance, a cultural and intellectual movement that originated in Italy during the 14th century, brought about a profound transformation in European society.",intellectual,12,0.29,1.0,0.0,0.0,0.0,0.0,0.71,0.0,intellectual,en
6,en,HistoricalContext,en_HistoricalContext,0,"The Renaissance, a cultural and intellectual movement that originated in Italy during the 14th century, brought about a profound transformation in European society.",movement,8,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,movement,en
7,en,HistoricalContext,en_HistoricalContext,0,"The Renaissance, a cultural and intellectual movement that originated in Italy during the 14th century, brought about a profound transformation in European society.",that,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,that,en
8,en,HistoricalContext,en_HistoricalContext,0,"The Renaissance, a cultural and intellectual movement that originated in Italy during the 14th century, brought about a profound transformation in European society.",originated,10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,originated,en
9,en,HistoricalContext,en_HistoricalContext,0,"The Renaissance, a cultural and intellectual movement that originated in Italy during the 14th century, brought about a profound transformation in European society.",in,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,in,en
