index,MainLanguage,Category,Filename,SentenceIndex,Sentence,Word_x,wordLength,wordIsEN,sentenceIsEN,wordIsDE,sentenceIsDE,wordIsFR,sentenceIsFR,wordIsIT,sentenceIsIT,Word_y,Language
0,en,Jargon,en_Jargon,0,The chef prepared a delicious amuse-bouche to start the meal.,The,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,The,en
1,en,Jargon,en_Jargon,0,The chef prepared a delicious amuse-bouche to start the meal.,chef,4,0.43,1.0,0.57,0.0,0.0,0.0,0.0,0.0,chef,en
2,en,Jargon,en_Jargon,0,The chef prepared a delicious amuse-bouche to start the meal.,prepared,8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,prepared,en
3,en,Jargon,en_Jargon,0,The chef prepared a delicious amuse-bouche to start the meal.,a,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,a,en
4,en,Jargon,en_Jargon,0,The chef prepared a delicious amuse-bouche to start the meal.,delicious,9,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,delicious,en
5,en,Jargon,en_Jargon,0,The chef prepared a delicious amuse-bouche to start the meal.,amuse,5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,amuse,fr
6,en,Jargon,en_Jargon,0,The chef prepared a delicious amuse-bouche to start the meal.,bouche,6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,bouche,fr
7,en,Jargon,en_Jargon,0,The chef prepared a delicious amuse-bouche to start the meal.,to,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,to,en
8,en,Jargon,en_Jargon,0,The chef prepared a delicious amuse-bouche to start the meal.,start,5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,start,en
9,en,Jargon,en_Jargon,0,The chef prepared a delicious amuse-bouche to start the meal.,the,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,the,en
10,en,Jargon,en_Jargon,0,The chef prepared a delicious amuse-bouche to start the meal.,meal,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,meal,en
11,en,Jargon,en_Jargon,1,She wore a chic outfit with a touch of je ne sais quoi.,She,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,She,en
12,en,Jargon,en_Jargon,1,She wore a chic outfit with a touch of je ne sais quoi.,wore,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,wore,en
13,en,Jargon,en_Jargon,1,She wore a chic outfit with a touch of je ne sais quoi.,a,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,a,en
14,en,Jargon,en_Jargon,1,She wore a chic outfit with a touch of je ne sais quoi.,chic,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,chic,fr
