Word,Language
Start,en
at,en
Rome,en
Fiumicino,it
Airport,en
and,en
head,en
towards,en
Via,it
dell,it
Aeroporto,it
di,it
Fiumicino,it
Turn,en
left,en
onto,en
Via,it
dell,it
Aeroporto,it
di,it
Fiumicino,it
and,en
continue,en
straight,en
until,en
you,en
reach,en
Via,it
dell,it
Aeroporto,it
di,it
Fiumicino,it
Via,it
Portuense,it
SS,en
Turn,en
right,en
onto,en
Via,it
Portuense,it
SS,en
and,en
continue,en
on,en
this,en
road,en
for,en
approximately,en
kilometers,en
Turn,en
left,en
onto,en
Via,it
della,it
Magliana,it
SS,en
and,en
continue,en
straight,en
until,en
you,en
reach,en
Viale,it
dei,it
Quattro,it
Venti,it
Turn,en
right,en
onto,en
Viale,it
dei,it
Quattro,it
Venti,it
and,en
continue,en
until,en
you,en
reach,en
Via,it
di,it
Boccea,it
Turn,en
left,en
onto,en
Via,it
di,it
Boccea,it
SS,en
and,en
continue,en
on,en
this,en
road,en
for,en
approximately,en
kilometers,en
until,en
you,en
reach,en
the,en
city,en
of,en
Civitavecchia,it
Arrive,en
at,en
Civitavecchia,it
and,en
check,en
in,en
to,en
your,en
hotel,en
Start,en
at,en
Civitavecchia,it
and,en
head,en
towards,en
Strada,it
Statale,it
Via,it
Aurelia,it
Turn,en
left,en
onto,en
Strada,it
Statale,it
Via,it
Aurelia,it
and,en
continue,en
on,en
this,en
road,en
for,en
approximately,en
kilometers,en
passing,en
through,en
Grosseto,it
and,en
Livorno,it
After,en
Livorno,it
continue,en
on,en
Strada,it
Statale,it
Via,it
Aurelia,it
until,en
you,en
reach,en
Viareggio,it
Turn,en
right,en
onto,en
Via,it
Aurelia,it
Sud,en
and,en
continue,en
until,en
you,en
reach,en
the,en
city,en
of,en
Lucca,it
Arrive,en
at,en
Lucca,it
and,en
check,en
in,en
to,en
your,en
hotel,en
Start,en
at,en
Lucca,it
and,en
head,en
towards,en
Autostrada,it
A,en
Take,en
Autostrada,it
A,en
towards,en
Florence,en
and,en
continue,en
for,en
approximately,en
kilometers,en
Take,en
the,en
exit,en
toward,en
Firenze,it
Sud,it
and,en
merge,en
onto,en
A,en
E,en
Continue,en
on,en
A,en
E,en
for,en
approximately,en
kilometers,en
until,en
you,en
reach,en
Rome,en
Take,en
the,en
exit,en
toward,en
Roma,it
Centro,it
and,en
merge,en
onto,en
Grande,it
Raccordo,it
Anulare,it
A,en
Continue,en
on,en
Grande,it
Raccordo,it
Anulare,it
A,en
and,en
take,en
the,en
exit,en
toward,en
Via,it
Salaria,it
SS,en
Head,en
south,en
on,en
Rue,fr
de,fr
Rivoli,fr
Turn,en
right,en
onto,en
Quai,fr
des,fr
Tuileries,fr
Continue,en
onto,en
Quai,fr
des,fr
Grands,fr
Augustins,fr
Turn,en
left,en
onto,en
Pont,fr
Neuf,fr
Continue,en
on,en
Quai,fr
des,fr
Célestins,fr
Turn,en
right,en
onto,en
Boulevard,fr
Henri,fr
IV,fr
Continue,en
onto,en
Boulevard,fr
de,fr
l,fr
Hôpital,fr
Follow,en
signs,en
for,en
A,en
B,en
E,en
E,en
Aéroport,fr
Orly,fr
Lyon,fr
Bordeaux,fr
Nantes,fr
Merge,en
onto,en
A,en
B,en
Continue,en
on,en
A,en
B,en
for,en
about,en
km,en
Merge,en
onto,en
A,en
toward,en
Lyon,en
Continue,en
on,en
A,en
for,en
approximately,en
km,en
Take,en
exit,en
toward,en
Chalon,fr
sur,fr
Saône,fr
Tournus,en
Merge,en
onto,en
A,en
Continue,en
on,en
A,en
for,en
approximately,en
km,en
Take,en
exit,en
to,en
merge,en
onto,en
A,en
toward,en
Besançon,fr
Lons,fr
le,fr
Saunier,fr
Dijon,fr
Continue,en
on,en
A,en
for,en
about,en
km,en
Take,en
exit,en
A,en
toward,en
Beaune,fr
Centre,fr
Depart,en
from,en
Frankfurt,de
International,en
Airport,en
and,en
head,en
north,en
on,en
Autobahn,de
A,en
Take,en
exit,en
toward,en
Heidelberg,de
B,en
Neckargemünd,de
Leimen,en
Merge,en
onto,en
B,en
and,en
continue,en
for,en
about,en
kilometers,en
Turn,en
right,en
onto,en
L,en
Hauptstraße,de
and,en
follow,en
the,en
road,en
for,en
approximately,en
kilometers,en
Turn,en
left,en
onto,en
Friedrich,de
Ebert,de
Anlage,de
B,en
and,en
continue,en
for,en
about,en
kilometers,en
Turn,en
right,en
onto,en
Adenauerplatz,de
B,en
B,en
and,en
continue,en
for,en
approximately,en
kilometers,en
Merge,en
onto,en
A,en
toward,en
Darmstadt,de
Take,en
exit,en
toward,en
Heppenheim,de
Lorsch,de
B,en
Merge,en
onto,en
B,en
and,en
continue,en
for,en
about,en
kilometers,en
Turn,en
right,en
onto,en
Wormser,de
Straße,de
L,en
and,en
continue,en
for,en
approximately,en
kilometers,en
Turn,en
left,en
onto,en
Friedrichstraße,de
L,en
Continue,en
on,en
L,en
for,en
about,en
kilometers,en
Turn,en
left,en
onto,en
B,en
Kurfürstenstraße,de
and,en
continue,en
for,en
approximately,en
kilometers,en
Merge,en
onto,en
A,en
toward,en
Kaiserslautern,de
Mannheim,dee
Take,en
exit,en
toward,en
Stuttgart,de
Ludwigshafen,de
B,en
Merge,en
onto,en
B,en
and,en
continue,en
for,en
about,en
kilometers,en
Turn,en
right,en
onto,en
Hauptstraße,de
L,en
