index,MainLanguage,Category,Filename,SentenceIndex,Sentence,Word_x,wordLength,wordIsEN,sentenceIsEN,wordIsDE,sentenceIsDE,wordIsFR,sentenceIsFR,wordIsIT,sentenceIsIT,Word_y,Language
0,en,PopCulture,en_PopCulture,0,Escargot for dinner?,Escargot,8,0.0,0.86,0.0,0.0,0.0,0.0,1.0,0.14,Escargot,fr
1,en,PopCulture,en_PopCulture,0,Escargot for dinner?,for,3,1.0,0.86,0.0,0.0,0.0,0.0,0.0,0.14,for,en
2,en,PopCulture,en_PopCulture,0,Escargot for dinner?,dinner,6,0.0,0.86,1.0,0.0,0.0,0.0,0.0,0.14,dinner,en
3,en,PopCulture,en_PopCulture,1,"Oui, s'il vous plaît!",Oui,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Oui,fr
4,en,PopCulture,en_PopCulture,1,"Oui, s'il vous plaît!",s,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,s,fr
5,en,PopCulture,en_PopCulture,1,"Oui, s'il vous plaît!",il,2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,il,fr
6,en,PopCulture,en_PopCulture,1,"Oui, s'il vous plaît!",vous,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,vous,fr
7,en,PopCulture,en_PopCulture,1,"Oui, s'il vous plaît!",plaît,5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,plaît,fr
8,en,PopCulture,en_PopCulture,2,"#FrenchFood #Gourmet
Le weekend is here!",FrenchFood,10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,FrenchFood,en
9,en,PopCulture,en_PopCulture,2,"#FrenchFood #Gourmet
Le weekend is here!",Gourmet,7,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Gourmet,fr
10,en,PopCulture,en_PopCulture,2,"#FrenchFood #Gourmet
Le weekend is here!",Le,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Le,fr
11,en,PopCulture,en_PopCulture,2,"#FrenchFood #Gourmet
Le weekend is here!",weekend,7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,weekend,fr
12,en,PopCulture,en_PopCulture,2,"#FrenchFood #Gourmet
Le weekend is here!",is,2,0.0,1.0,0.99,0.0,0.0,0.0,0.0,0.0,is,en
13,en,PopCulture,en_PopCulture,2,"#FrenchFood #Gourmet
Le weekend is here!",here,4,0.11,1.0,0.89,0.0,0.0,0.0,0.0,0.0,here,en
14,en,PopCulture,en_PopCulture,3,Time for some joie de vivre!,Time,4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Time,en
15,en,PopCulture,en_PopCulture,3,Time for some joie de vivre!,for,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,for,en
16,en,PopCulture,en_PopCulture,3,Time for some joie de vivre!,some,4,0.44,0.0,0.0,0.0,0.0,1.0,0.56,0.0,some,en
17,en,PopCulture,en_PopCulture,3,Time for some joie de vivre!,joie,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,joie,fr
18,en,PopCulture,en_PopCulture,3,Time for some joie de vivre!,de,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,de,fr
19,en,PopCulture,en_PopCulture,3,Time for some joie de vivre!,vivre,5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,vivre,fr
20,en,PopCulture,en_PopCulture,4,"#WeekendVibes #FrenchPhrase
J'adore the Eiffel Tower!",WeekendVibes,12,0.0,0.71,1.0,0.29,0.0,0.0,0.0,0.0,WeekendVibes,en
21,en,PopCulture,en_PopCulture,4,"#WeekendVibes #FrenchPhrase
J'adore the Eiffel Tower!",FrenchPhrase,12,0.86,0.71,0.14,0.29,0.0,0.0,0.0,0.0,FrenchPhrase,en
22,en,PopCulture,en_PopCulture,4,"#WeekendVibes #FrenchPhrase
J'adore the Eiffel Tower!",J,1,0.0,0.71,1.0,0.29,0.0,0.0,0.0,0.0,J,fr
23,en,PopCulture,en_PopCulture,4,"#WeekendVibes #FrenchPhrase
J'adore the Eiffel Tower!",adore,5,0.0,0.71,0.0,0.29,0.0,0.0,1.0,0.0,adore,fr
24,en,PopCulture,en_PopCulture,4,"#WeekendVibes #FrenchPhrase
J'adore the Eiffel Tower!",the,3,1.0,0.71,0.0,0.29,0.0,0.0,0.0,0.0,the,en
25,en,PopCulture,en_PopCulture,4,"#WeekendVibes #FrenchPhrase
J'adore the Eiffel Tower!",Eiffel,6,0.0,0.71,1.0,0.29,0.0,0.0,0.0,0.0,Eiffel,en
26,en,PopCulture,en_PopCulture,4,"#WeekendVibes #FrenchPhrase
J'adore the Eiffel Tower!",Tower,5,1.0,0.71,0.0,0.29,0.0,0.0,0.0,0.0,Tower,en
27,en,PopCulture,en_PopCulture,5,Such an iconic landmark.,Such,4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Such,en
28,en,PopCulture,en_PopCulture,5,Such an iconic landmark.,an,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,an,en
29,en,PopCulture,en_PopCulture,5,Such an iconic landmark.,iconic,6,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,iconic,en
30,en,PopCulture,en_PopCulture,5,Such an iconic landmark.,landmark,8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,landmark,en
31,en,PopCulture,en_PopCulture,6,"#Paris #EiffelTower
Just finished reading a poignant book by Victor Hugo.",Paris,5,0.0,1.0,0.0,0.0,0.92,0.0,0.0,0.0,Paris,en
32,en,PopCulture,en_PopCulture,6,"#Paris #EiffelTower
Just finished reading a poignant book by Victor Hugo.",EiffelTower,11,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,EiffelTower,en
33,en,PopCulture,en_PopCulture,6,"#Paris #EiffelTower
Just finished reading a poignant book by Victor Hugo.",Just,4,0.0,1.0,0.99,0.0,0.0,0.0,0.0,0.0,Just,en
34,en,PopCulture,en_PopCulture,6,"#Paris #EiffelTower
Just finished reading a poignant book by Victor Hugo.",finished,8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,finished,en
35,en,PopCulture,en_PopCulture,6,"#Paris #EiffelTower
Just finished reading a poignant book by Victor Hugo.",reading,7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,reading,en
36,en,PopCulture,en_PopCulture,6,"#Paris #EiffelTower
Just finished reading a poignant book by Victor Hugo.",a,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,a,en
37,en,PopCulture,en_PopCulture,6,"#Paris #EiffelTower
Just finished reading a poignant book by Victor Hugo.",poignant,8,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,poignant,fr
38,en,PopCulture,en_PopCulture,6,"#Paris #EiffelTower
Just finished reading a poignant book by Victor Hugo.",book,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,book,en
39,en,PopCulture,en_PopCulture,6,"#Paris #EiffelTower
Just finished reading a poignant book by Victor Hugo.",by,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,by,en
40,en,PopCulture,en_PopCulture,6,"#Paris #EiffelTower
Just finished reading a poignant book by Victor Hugo.",Victor,6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Victor,fr
41,en,PopCulture,en_PopCulture,6,"#Paris #EiffelTower
Just finished reading a poignant book by Victor Hugo.",Hugo,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Hugo,fr
42,en,PopCulture,en_PopCulture,7,"#FrenchLiterature #Classic
C'est la vie!",FrenchLiterature,16,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,FrenchLiterature,en
43,en,PopCulture,en_PopCulture,7,"#FrenchLiterature #Classic
C'est la vie!",Classic,7,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Classic,en
44,en,PopCulture,en_PopCulture,7,"#FrenchLiterature #Classic
C'est la vie!",C,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,C,fr
45,en,PopCulture,en_PopCulture,7,"#FrenchLiterature #Classic
C'est la vie!",est,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,est,fr
