Word,Language
Dès,fr
le,fr
début,fr
du,fr
mouvement,fr
romantique,fr
en,fr
Allemagne,fr
les,fr
écrivains,fr
et,fr
les,fr
poètes,fr
ont,fr
commencé,fr
à,fr
utiliser,fr
le,fr
terme,fr
Wanderlust,de
pour,fr
décrire,fr
le,fr
désir,fr
de,fr
voyager,fr
et,fr
d,fr
explorer,fr
le,fr
monde,fr
Le,fr
concept,fr
de,fr
Sturm,de
und,de
Drang,de
en,fr
littérature,fr
allemande,fr
du,fr
XVIIIe,fr
siècle,fr
a,fr
influencé,fr
de,fr
nombreux,fr
auteurs,fr
européens,fr
Les,fr
peintres,fr
italiens,fr
de,fr
la,fr
Renaissance,fr
étaient,fr
connus,fr
pour,fr
leur,fr
utilisation,fr
de,fr
la,fr
technique,fr
de,fr
sfumato,it
Le,fr
mot,fr
zeitgeist,de
est,fr
souvent,fr
utilisé,fr
pour,fr
décrire,fr
l,fr
atmosphère,fr
culturelle,fr
d,fr
une,fr
époque,fr
et,fr
il,fr
est,fr
originaire,fr
de,fr
l,fr
allemand,fr
En,fr
musique,fr
les,fr
termes,fr
allegro,it
et,fr
adagio,it
sont,fr
utilisés,fr
pour,fr
indiquer,fr
la,fr
vitesse,fr
ou,fr
le,fr
tempo,fr
d,fr
une,fr
pièce,fr
Le,fr
terme,fr
bel,it
canto,it
est,fr
utilisé,fr
pour,fr
décrire,fr
un,fr
style,fr
de,fr
chant,fr
italien,fr
caractérisé,fr
par,fr
une,fr
voix,fr
légère,fr
et,fr
une,fr
mélodie,fr
expressive,fr
En,fr
art,fr
les,fr
peintres,fr
allemands,fr
de,fr
l,fr
école,fr
Bauhaus,fr
ont,fr
utilisé,fr
le,fr
terme,fr
Gesamtkunstwerk,de
pour,fr
décrire,fr
l,fr
œuvre,fr
d,fr
art,fr
totale,fr
qui,fr
combine,fr
des,fr
éléments,fr
de,fr
différentes,fr
formes,fr
d,fr
art,fr
Le,fr
concept,fr
de,fr
dolce,it
vita,it
en,fr
italien,fr
est,fr
souvent,fr
utilisé,fr
pour,fr
décrire,fr
un,fr
style,fr
de,fr
vie,fr
luxueux,fr
et,fr
insouciant,fr
La,fr
Bildungsroman,de
est,fr
un,fr
genre,fr
littéraire,fr
allemand,fr
qui,fr
met,fr
l,fr
accent,fr
sur,fr
la,fr
croissance,fr
et,fr
le,fr
développement,fr
personnel,fr
du,fr
protagoniste,fr
Le,fr
terme,fr
capriccio,it
en,fr
musique,fr
italienne,fr
est,fr
utilisé,fr
pour,fr
décrire,fr
une,fr
composition,fr
libre,fr
et,fr
fantasque,fr
L,fr
artiste,fr
allemand,fr
Joseph,de
Beuys,de
était,fr
connu,fr
pour,fr
ses,fr
performances,fr
artistiques,fr
appelées,fr
Aktionen,de
En,fr
littérature,fr
l,fr
utilisation,fr
du,fr
terme,fr
leitmotiv,de
vient,fr
de,fr
l,fr
opéra,fr
allemand,fr
et,fr
se,fr
réfère,fr
à,fr
une,fr
idée,fr
ou,fr
un,fr
thème,fr
récurrent,fr
Le,fr
terme,fr
Gestalt,de
en,fr
psychologie,fr
allemande,fr
se,fr
réfère,fr
à,fr
la,fr
perception,fr
globale,fr
ou,fr
