index,MainLanguage,Category,Filename,SentenceIndex,Sentence,Word_x,wordLength,wordIsEN,sentenceIsEN,wordIsDE,sentenceIsDE,wordIsFR,sentenceIsFR,wordIsIT,sentenceIsIT,Word_y,Language
0,fr,ArtAndLitterature,fr_ArtAndLitterature,0,"Dès le début du mouvement romantique en Allemagne, les écrivains et les poètes ont commencé à utiliser le terme ""Wanderlust"" pour décrire le désir de voyager et d'explorer le monde.",Dès,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Dès,fr
1,fr,ArtAndLitterature,fr_ArtAndLitterature,0,"Dès le début du mouvement romantique en Allemagne, les écrivains et les poètes ont commencé à utiliser le terme ""Wanderlust"" pour décrire le désir de voyager et d'explorer le monde.",le,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,le,fr
2,fr,ArtAndLitterature,fr_ArtAndLitterature,0,"Dès le début du mouvement romantique en Allemagne, les écrivains et les poètes ont commencé à utiliser le terme ""Wanderlust"" pour décrire le désir de voyager et d'explorer le monde.",début,5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,début,fr
3,fr,ArtAndLitterature,fr_ArtAndLitterature,0,"Dès le début du mouvement romantique en Allemagne, les écrivains et les poètes ont commencé à utiliser le terme ""Wanderlust"" pour décrire le désir de voyager et d'explorer le monde.",du,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,du,fr
4,fr,ArtAndLitterature,fr_ArtAndLitterature,0,"Dès le début du mouvement romantique en Allemagne, les écrivains et les poètes ont commencé à utiliser le terme ""Wanderlust"" pour décrire le désir de voyager et d'explorer le monde.",mouvement,9,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,mouvement,fr
5,fr,ArtAndLitterature,fr_ArtAndLitterature,0,"Dès le début du mouvement romantique en Allemagne, les écrivains et les poètes ont commencé à utiliser le terme ""Wanderlust"" pour décrire le désir de voyager et d'explorer le monde.",romantique,10,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,romantique,fr
6,fr,ArtAndLitterature,fr_ArtAndLitterature,0,"Dès le début du mouvement romantique en Allemagne, les écrivains et les poètes ont commencé à utiliser le terme ""Wanderlust"" pour décrire le désir de voyager et d'explorer le monde.",en,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,en,fr
7,fr,ArtAndLitterature,fr_ArtAndLitterature,0,"Dès le début du mouvement romantique en Allemagne, les écrivains et les poètes ont commencé à utiliser le terme ""Wanderlust"" pour décrire le désir de voyager et d'explorer le monde.",Allemagne,9,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Allemagne,fr
8,fr,ArtAndLitterature,fr_ArtAndLitterature,0,"Dès le début du mouvement romantique en Allemagne, les écrivains et les poètes ont commencé à utiliser le terme ""Wanderlust"" pour décrire le désir de voyager et d'explorer le monde.",les,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,les,fr
9,fr,ArtAndLitterature,fr_ArtAndLitterature,0,"Dès le début du mouvement romantique en Allemagne, les écrivains et les poètes ont commencé à utiliser le terme ""Wanderlust"" pour décrire le désir de voyager et d'explorer le monde.",écrivains,9,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,écrivains,fr
10,fr,ArtAndLitterature,fr_ArtAndLitterature,0,"Dès le début du mouvement romantique en Allemagne, les écrivains et les poètes ont commencé à utiliser le terme ""Wanderlust"" pour décrire le désir de voyager et d'explorer le monde.",et,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,et,fr
11,fr,ArtAndLitterature,fr_ArtAndLitterature,0,"Dès le début du mouvement romantique en Allemagne, les écrivains et les poètes ont commencé à utiliser le terme ""Wanderlust"" pour décrire le désir de voyager et d'explorer le monde.",les,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,les,fr
12,fr,ArtAndLitterature,fr_ArtAndLitterature,0,"Dès le début du mouvement romantique en Allemagne, les écrivains et les poètes ont commencé à utiliser le terme ""Wanderlust"" pour décrire le désir de voyager et d'explorer le monde.",poètes,6,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,poètes,fr
