index,MainLanguage,Category,Filename,SentenceIndex,Sentence,Word_x,wordLength,wordIsEN,sentenceIsEN,wordIsDE,sentenceIsDE,wordIsFR,sentenceIsFR,wordIsIT,sentenceIsIT,Word_y,Language
0,fr,Expressions,fr_Expressions,0,"Commençons par une expression française bien connue : ""Il ne faut pas vendre la peau de l'ours avant de l'avoir tué"".",Commençons,10,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Commençons,fr
1,fr,Expressions,fr_Expressions,0,"Commençons par une expression française bien connue : ""Il ne faut pas vendre la peau de l'ours avant de l'avoir tué"".",par,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,par,fr
2,fr,Expressions,fr_Expressions,0,"Commençons par une expression française bien connue : ""Il ne faut pas vendre la peau de l'ours avant de l'avoir tué"".",une,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,une,fr
3,fr,Expressions,fr_Expressions,0,"Commençons par une expression française bien connue : ""Il ne faut pas vendre la peau de l'ours avant de l'avoir tué"".",expression,10,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,expression,fr
4,fr,Expressions,fr_Expressions,0,"Commençons par une expression française bien connue : ""Il ne faut pas vendre la peau de l'ours avant de l'avoir tué"".",française,9,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,française,fr
5,fr,Expressions,fr_Expressions,0,"Commençons par une expression française bien connue : ""Il ne faut pas vendre la peau de l'ours avant de l'avoir tué"".",bien,4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,bien,fr
6,fr,Expressions,fr_Expressions,0,"Commençons par une expression française bien connue : ""Il ne faut pas vendre la peau de l'ours avant de l'avoir tué"".",connue,6,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,connue,fr
7,fr,Expressions,fr_Expressions,0,"Commençons par une expression française bien connue : ""Il ne faut pas vendre la peau de l'ours avant de l'avoir tué"".",Il,2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Il,fr
8,fr,Expressions,fr_Expressions,0,"Commençons par une expression française bien connue : ""Il ne faut pas vendre la peau de l'ours avant de l'avoir tué"".",ne,2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,ne,fr
9,fr,Expressions,fr_Expressions,0,"Commençons par une expression française bien connue : ""Il ne faut pas vendre la peau de l'ours avant de l'avoir tué"".",faut,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,faut,fr
10,fr,Expressions,fr_Expressions,0,"Commençons par une expression française bien connue : ""Il ne faut pas vendre la peau de l'ours avant de l'avoir tué"".",pas,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,pas,fr
11,fr,Expressions,fr_Expressions,0,"Commençons par une expression française bien connue : ""Il ne faut pas vendre la peau de l'ours avant de l'avoir tué"".",vendre,6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,vendre,fr
12,fr,Expressions,fr_Expressions,0,"Commençons par une expression française bien connue : ""Il ne faut pas vendre la peau de l'ours avant de l'avoir tué"".",la,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,la,fr
13,fr,Expressions,fr_Expressions,0,"Commençons par une expression française bien connue : ""Il ne faut pas vendre la peau de l'ours avant de l'avoir tué"".",peau,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,peau,fr
14,fr,Expressions,fr_Expressions,0,"Commençons par une expression française bien connue : ""Il ne faut pas vendre la peau de l'ours avant de l'avoir tué"".",de,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,de,fr
15,fr,Expressions,fr_Expressions,0,"Commençons par une expression française bien connue : ""Il ne faut pas vendre la peau de l'ours avant de l'avoir tué"".",l,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,l,fr
16,fr,Expressions,fr_Expressions,0,"Commençons par une expression française bien connue : ""Il ne faut pas vendre la peau de l'ours avant de l'avoir tué"".",ours,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,ours,fr
17,fr,Expressions,fr_Expressions,0,"Commençons par une expression française bien connue : ""Il ne faut pas vendre la peau de l'ours avant de l'avoir tué"".",avant,5,0.0,0.0,0.0,0.0,0.36,1.0,0.64,0.0,avant,fr
18,fr,Expressions,fr_Expressions,0,"Commençons par une expression française bien connue : ""Il ne faut pas vendre la peau de l'ours avant de l'avoir tué"".",de,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,de,fr
