Word,Language
Les,fr
croisades,fr
ont,fr
été,fr
organisées,fr
pour,fr
récupérer,fr
les,fr
lieux,fr
saints,fr
de,fr
Jérusalem,fr
et,fr
étaient,fr
connues,fr
sous,fr
le,fr
nom,fr
de,fr
Kreuzzüge,de
en,fr
allemand,fr
Les,fr
chevaliers,fr
étaient,fr
des,fr
guerriers,fr
montés,fr
qui,fr
servaient,fr
leur,fr
seigneur,fr
et,fr
étaient,fr
appelés,fr
Ritter,de
en,fr
allemand,fr
ou,fr
cavalieri,it
en,fr
italien,fr
Le,fr
pape,fr
chef,fr
de,fr
l,fr
Église,fr
catholique,fr
romaine,fr
était,fr
connu,fr
sous,fr
le,fr
nom,fr
de,fr
Papst,de
en,fr
allemand,fr
ou,fr
papa,it
en,fr
italien,fr
Les,fr
guildes,fr
étaient,fr
des,fr
associations,fr
de,fr
métiers,fr
et,fr
de,fr
commerçants,fr
qui,fr
régulaient,fr
les,fr
activités,fr
économiques,fr
et,fr
étaient,fr
appelées,fr
Zunft,de
en,fr
allemand,fr
ou,fr
Arte,it
en,fr
italien,fr
Les,fr
châteaux,fr
étaient,fr
des,fr
forteresses,fr
construites,fr
pour,fr
protéger,fr
les,fr
seigneurs,fr
et,fr
étaient,fr
appelés,fr
Burg,de
en,fr
allemand,fr
ou,fr
castello,it
en,fr
italien,fr
Les,fr
troubadours,fr
étaient,fr
des,fr
poètes,fr
et,fr
musiciens,fr
qui,fr
chantaient,fr
des,fr
chansons,fr
d,fr
amour,fr
et,fr
étaient,fr
connus,fr
sous,fr
le,fr
nom,fr
de,fr
Trouvères,de
en,fr
allemand,fr
Les,fr
Vikings,fr
étaient,fr
des,fr
explorateurs,fr
et,fr
des,fr
marins,fr
venus,fr
du,fr
nord,fr
de,fr
l,fr
Europe,fr
et,fr
étaient,fr
appelés,fr
Vichinghi,it
en,fr
italien,fr
Les,fr
foires,fr
médiévales,fr
étaient,fr
des,fr
événements,fr
commerciaux,fr
où,fr
des,fr
marchands,fr
de,fr
toute,fr
l,fr
Europe,fr
se,fr
rencontraient,fr
pour,fr
échanger,fr
des,fr
biens,fr
et,fr
étaient,fr
appelées,fr
Messen,de
en,fr
allemand,fr
La,fr
chevalerie,fr
était,fr
une,fr
institution,fr
militaire,fr
et,fr
sociale,fr
qui,fr
regroupait,fr
des,fr
chevaliers,fr
qui,fr
étaient,fr
appelés,fr
Ritter,de
en,fr
allemand,fr
Les,fr
croisades,fr
étaient,fr
une,fr
série,fr
de,fr
guerres,fr
saintes,fr
menées,fr
par,fr
les,fr
chrétiens,fr
contre,fr
les,fr
musulmans,fr
pour,fr
récupérer,fr
les,fr
lieux,fr
saints,fr
connues,fr
sous,fr
le,fr
nom,fr
de,fr
crociate,it
en,fr
italien,fr
Le,fr
Moyen,fr
Âge,fr
était,fr
une,fr
période,fr
de,fr
l,fr
histoire,fr
européenne,fr
qui,fr
s,fr
étendait,fr
de,fr
la,fr
chute,fr
de,fr
l,fr
Empire,fr
romain,fr
d,fr
Occident,fr
en,fr
à,fr
la,fr
fin,fr
du,fr
XVe,fr
siècle,fr
appelée,fr
Mittelalter,de
en,fr
allemand,fr
Les,fr
manuscrits,fr
enluminés,fr
étaient,fr
des,fr
livres,fr
décorés,fr
de,fr
motifs,fr
colorés,fr
et,fr
de,fr
lettrines,fr
et,fr
étaient,fr
connus,fr
sous,fr
le,fr
nom,fr
de,fr
Manuskripte,de
en,fr
allemand,fr
Les,fr
cathédrales,fr
étaient,fr
des,fr
édifices,fr
religieux,fr
importants,fr
de,fr
l,fr
architecture,fr
gothique,fr
et,fr
étaient,fr
appelées,fr
Duomo,it
en,fr
italien,fr
Les,fr
troubadours,fr
étaient,fr
des,fr
poètes,fr
et,fr
musiciens,fr
qui,fr
chantaient,fr
des,fr
chansons,fr
d,fr
amour,fr
et,fr
étaient,fr
connus,fr
sous,fr
le,fr
nom,fr
de,fr
Minnesänger,de
en,fr
allemand,fr
Les,fr
chevaliers,fr
de,fr
l,fr
Ordre,fr
du,fr
Temple,fr
étaient,fr
une,fr
organisation,fr
militaire,fr
et,fr
religieuse,fr
qui,fr
protégeait,fr
les,fr
pèlerins,fr
chrétiens,fr
en,fr
Terre,fr
sainte,fr
et,fr
étaient,fr
appelés,fr
Templer,de
en,fr
allemand,fr
Les,fr
forteresses,fr
médiévales,fr
étaient,fr
des,fr
constructions,fr
défensives,fr
qui,fr
étaient,fr
souvent,fr
équipées,fr
de,fr
pont,fr
levis,fr
et,fr
de,fr
douves,fr
appelées,fr
Festungen,de
en,fr
allemand,fr
Les,fr
Vikings,fr
étaient,fr
des,fr
explorateurs,fr
et,fr
des,fr
pillards,fr
qui,fr
venaient,fr
du,fr
nord,fr
de,fr
l,fr
Europe,fr
et,fr
étaient,fr
appelés,fr
Wikinger,de
en,fr
allemand,fr
Les,fr
croisés,fr
étaient,fr
des,fr
soldats,fr
chrétiens,fr
qui,fr
ont,fr
participé,fr
aux,fr
croisades,fr
pour,fr
récupérer,fr
la,fr
Terre,fr
Sainte,fr
connus,fr
sous,fr
le,fr
nom,fr
de,fr
crociati,it
en,fr
italien,fr
Les,fr
cathédrales,fr
gothiques,fr
étaient,fr
des,fr
édifices,fr
religieux,fr
imposants,fr
caractérisés,fr
par,fr
leurs,fr
arcs,fr
boutants,fr
et,fr
leurs,fr
voûtes,fr
en,fr
ogive,fr
appelées,fr
Kathedralen,de
en,fr
allemand,fr
Les,fr
troubadours,fr
étaient,fr
des,fr
poètes,fr
et,fr
musiciens,fr
itinérants,fr
qui,fr
ont,fr
développé,fr
la,fr
poésie,fr
lyrique,fr
en,fr
langue,fr
d,fr
oc,fr
appelée,fr
troubadours,en
en,fr
anglais,fr
Les,fr
chevaliers,fr
étaient,fr
des,fr
guerriers,fr
montés,fr
qui,fr
suivaient,fr
un,fr
code,fr
d,fr
honneur,fr
appelé,fr
Chivalry,en
en,fr
anglais,fr
ou,fr
Rittertum,de
en,fr
allemand,fr
