index,MainLanguage,Category,Filename,SentenceIndex,Sentence,Word_x,wordLength,wordIsEN,sentenceIsEN,wordIsDE,sentenceIsDE,wordIsFR,sentenceIsFR,wordIsIT,sentenceIsIT,Word_y,Language
0,fr,HistoricalContext,fr_HistoricalContext,0,"Les croisades ont été organisées pour récupérer les lieux saints de Jérusalem et étaient connues sous le nom de ""Kreuzzüge"" en allemand.",Les,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Les,fr
1,fr,HistoricalContext,fr_HistoricalContext,0,"Les croisades ont été organisées pour récupérer les lieux saints de Jérusalem et étaient connues sous le nom de ""Kreuzzüge"" en allemand.",croisades,9,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,croisades,fr
2,fr,HistoricalContext,fr_HistoricalContext,0,"Les croisades ont été organisées pour récupérer les lieux saints de Jérusalem et étaient connues sous le nom de ""Kreuzzüge"" en allemand.",ont,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,ont,fr
3,fr,HistoricalContext,fr_HistoricalContext,0,"Les croisades ont été organisées pour récupérer les lieux saints de Jérusalem et étaient connues sous le nom de ""Kreuzzüge"" en allemand.",été,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,été,fr
4,fr,HistoricalContext,fr_HistoricalContext,0,"Les croisades ont été organisées pour récupérer les lieux saints de Jérusalem et étaient connues sous le nom de ""Kreuzzüge"" en allemand.",organisées,10,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,organisées,fr
5,fr,HistoricalContext,fr_HistoricalContext,0,"Les croisades ont été organisées pour récupérer les lieux saints de Jérusalem et étaient connues sous le nom de ""Kreuzzüge"" en allemand.",pour,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,pour,fr
6,fr,HistoricalContext,fr_HistoricalContext,0,"Les croisades ont été organisées pour récupérer les lieux saints de Jérusalem et étaient connues sous le nom de ""Kreuzzüge"" en allemand.",récupérer,9,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,récupérer,fr
7,fr,HistoricalContext,fr_HistoricalContext,0,"Les croisades ont été organisées pour récupérer les lieux saints de Jérusalem et étaient connues sous le nom de ""Kreuzzüge"" en allemand.",les,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,les,fr
8,fr,HistoricalContext,fr_HistoricalContext,0,"Les croisades ont été organisées pour récupérer les lieux saints de Jérusalem et étaient connues sous le nom de ""Kreuzzüge"" en allemand.",lieux,5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,lieux,fr
9,fr,HistoricalContext,fr_HistoricalContext,0,"Les croisades ont été organisées pour récupérer les lieux saints de Jérusalem et étaient connues sous le nom de ""Kreuzzüge"" en allemand.",saints,6,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,saints,fr
10,fr,HistoricalContext,fr_HistoricalContext,0,"Les croisades ont été organisées pour récupérer les lieux saints de Jérusalem et étaient connues sous le nom de ""Kreuzzüge"" en allemand.",de,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,de,fr
11,fr,HistoricalContext,fr_HistoricalContext,0,"Les croisades ont été organisées pour récupérer les lieux saints de Jérusalem et étaient connues sous le nom de ""Kreuzzüge"" en allemand.",Jérusalem,9,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Jérusalem,fr
12,fr,HistoricalContext,fr_HistoricalContext,0,"Les croisades ont été organisées pour récupérer les lieux saints de Jérusalem et étaient connues sous le nom de ""Kreuzzüge"" en allemand.",et,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,et,fr
13,fr,HistoricalContext,fr_HistoricalContext,0,"Les croisades ont été organisées pour récupérer les lieux saints de Jérusalem et étaient connues sous le nom de ""Kreuzzüge"" en allemand.",étaient,7,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,étaient,fr
14,fr,HistoricalContext,fr_HistoricalContext,0,"Les croisades ont été organisées pour récupérer les lieux saints de Jérusalem et étaient connues sous le nom de ""Kreuzzüge"" en allemand.",connues,7,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,connues,fr
15,fr,HistoricalContext,fr_HistoricalContext,0,"Les croisades ont été organisées pour récupérer les lieux saints de Jérusalem et étaient connues sous le nom de ""Kreuzzüge"" en allemand.",sous,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,sous,fr
16,fr,HistoricalContext,fr_HistoricalContext,0,"Les croisades ont été organisées pour récupérer les lieux saints de Jérusalem et étaient connues sous le nom de ""Kreuzzüge"" en allemand.",le,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,le,fr
17,fr,HistoricalContext,fr_HistoricalContext,0,"Les croisades ont été organisées pour récupérer les lieux saints de Jérusalem et étaient connues sous le nom de ""Kreuzzüge"" en allemand.",nom,3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,nom,fr
18,fr,HistoricalContext,fr_HistoricalContext,0,"Les croisades ont été organisées pour récupérer les lieux saints de Jérusalem et étaient connues sous le nom de ""Kreuzzüge"" en allemand.",de,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,de,fr
19,fr,HistoricalContext,fr_HistoricalContext,0,"Les croisades ont été organisées pour récupérer les lieux saints de Jérusalem et étaient connues sous le nom de ""Kreuzzüge"" en allemand.",Kreuzzüge,9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Kreuzzüge,de
20,fr,HistoricalContext,fr_HistoricalContext,0,"Les croisades ont été organisées pour récupérer les lieux saints de Jérusalem et étaient connues sous le nom de ""Kreuzzüge"" en allemand.",en,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,en,fr
21,fr,HistoricalContext,fr_HistoricalContext,0,"Les croisades ont été organisées pour récupérer les lieux saints de Jérusalem et étaient connues sous le nom de ""Kreuzzüge"" en allemand.",allemand,8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,allemand,fr
22,fr,HistoricalContext,fr_HistoricalContext,1,"Les chevaliers étaient des guerriers montés qui servaient leur seigneur et étaient appelés ""Ritter"" en allemand ou ""cavalieri"" en italien.",Les,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Les,fr
23,fr,HistoricalContext,fr_HistoricalContext,1,"Les chevaliers étaient des guerriers montés qui servaient leur seigneur et étaient appelés ""Ritter"" en allemand ou ""cavalieri"" en italien.",chevaliers,10,0.0,0.0,0.14,0.0,0.0,1.0,0.86,0.0,chevaliers,fr
24,fr,HistoricalContext,fr_HistoricalContext,1,"Les chevaliers étaient des guerriers montés qui servaient leur seigneur et étaient appelés ""Ritter"" en allemand ou ""cavalieri"" en italien.",étaient,7,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,étaient,fr
25,fr,HistoricalContext,fr_HistoricalContext,1,"Les chevaliers étaient des guerriers montés qui servaient leur seigneur et étaient appelés ""Ritter"" en allemand ou ""cavalieri"" en italien.",des,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,des,fr
26,fr,HistoricalContext,fr_HistoricalContext,1,"Les chevaliers étaient des guerriers montés qui servaient leur seigneur et étaient appelés ""Ritter"" en allemand ou ""cavalieri"" en italien.",guerriers,9,0.0,0.0,0.13,0.0,0.87,1.0,0.0,0.0,guerriers,fr
27,fr,HistoricalContext,fr_HistoricalContext,1,"Les chevaliers étaient des guerriers montés qui servaient leur seigneur et étaient appelés ""Ritter"" en allemand ou ""cavalieri"" en italien.",montés,6,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,montés,fr
28,fr,HistoricalContext,fr_HistoricalContext,1,"Les chevaliers étaient des guerriers montés qui servaient leur seigneur et étaient appelés ""Ritter"" en allemand ou ""cavalieri"" en italien.",qui,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,qui,fr
29,fr,HistoricalContext,fr_HistoricalContext,1,"Les chevaliers étaient des guerriers montés qui servaient leur seigneur et étaient appelés ""Ritter"" en allemand ou ""cavalieri"" en italien.",servaient,9,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,servaient,fr
30,fr,HistoricalContext,fr_HistoricalContext,1,"Les chevaliers étaient des guerriers montés qui servaient leur seigneur et étaient appelés ""Ritter"" en allemand ou ""cavalieri"" en italien.",leur,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,leur,fr
