Word,Language
Départ,fr
en,fr
direction,fr
de,fr
la,fr
rue,fr
High,en
Street,en
Tournez,fr
à,fr
droite,fr
sur,fr
la,fr
rue,fr
Queen,en
s,en
Road,en
Continuez,fr
tout,fr
droit,fr
sur,fr
la,fr
rue,fr
King,en
s,en
Avenue,en
Prenez,fr
à,fr
gauche,fr
sur,fr
la,fr
rue,fr
Windsor,en
Road,en
Continuez,fr
sur,fr
la,fr
rue,fr
Victoria,en
Street,en
Tournez,fr
à,fr
droite,fr
sur,fr
la,fr
rue,fr
Albert,en
Road,en
Continuez,fr
sur,fr
la,fr
rue,fr
Main,en
Street,en
Tournez,fr
à,fr
gauche,fr
sur,fr
la,fr
rue,fr
Park,en
Avenue,en
Prenez,fr
à,fr
droite,fr
sur,fr
la,fr
rue,fr
Elm,en
Street,en
Tournez,fr
à,fr
droite,fr
sur,fr
la,fr
rue,fr
Oak,en
Avenue,en
Continuez,fr
tout,fr
droit,fr
sur,fr
la,fr
rue,fr
Church,en
Street,en
Prenez,fr
à,fr
droite,fr
sur,fr
la,fr
rue,fr
Highfield,en
Road,en
Continuez,fr
sur,fr
la,fr
rue,fr
Hillcrest,en
Avenue,en
Tournez,fr
à,fr
gauche,fr
sur,fr
la,fr
rue,fr
Sunnydale,en
Drive,en
Prenez,fr
à,fr
droite,fr
sur,fr
la,fr
rue,fr
Woodland,en
Drive,en
Continuez,fr
sur,fr
la,fr
rue,fr
Broad,en
Street,en
Tournez,fr
à,fr
gauche,fr
sur,fr
la,fr
rue,fr
Market,en
Square,en
Continuez,fr
tout,fr
droit,fr
sur,fr
la,fr
rue,fr
Bridge,en
Street,en
Prenez,fr
à,fr
droite,fr
sur,fr
la,fr
rue,fr
Station,en
Road,en
Tournez,fr
à,fr
droite,fr
sur,fr
la,fr
rue,fr
Goethestraße,de
Continuez,fr
tout,fr
droit,fr
sur,fr
la,fr
rue,fr
Schillerstraße,de
Tournez,fr
à,fr
gauche,fr
sur,fr
la,fr
rue,fr
Hauptstraße,de
Continuez,fr
tout,fr
droit,fr
sur,fr
la,fr
rue,fr
Berliner,de
Straße,de
Prenez,fr
la,fr
sortie,fr
pour,fr
rejoindre,fr
l,fr
autoroute,fr
A,fr
en,fr
direction,fr
de,fr
Hannover,de
Restez,fr
sur,fr
l,fr
autoroute,fr
A,fr
pendant,fr
kilomètres,fr
Prenez,fr
la,fr
sortie,fr
pour,fr
rejoindre,fr
l,fr
autoroute,fr
A,fr
en,fr
direction,fr
de,fr
Paderborn,de
Restez,fr
sur,fr
l,fr
autoroute,fr
A,fr
pendant,fr
kilomètres,fr
Prenez,fr
la,fr
sortie,fr
pour,fr
rejoindre,fr
la,fr
route,fr
B,fr
en,fr
direction,fr
de,fr
Warburg,de
Continuez,fr
tout,fr
droit,fr
sur,fr
la,fr
route,fr
B,fr
Tournez,fr
à,fr
droite,fr
sur,fr
la,fr
rue,fr
Kasseler,de
Straße,de
Tournez,fr
à,fr
gauche,fr
sur,fr
la,fr
rue,fr
Lütmarser,de
Straße,de
Continuez,fr
tout,fr
droit,fr
sur,fr
la,fr
rue,fr
Im,de
Sacke,de
Tournez,fr
à,fr
droite,fr
sur,fr
la,fr
rue,fr
Holsterfeld,de
Tournez,fr
à,fr
gauche,fr
sur,fr
la,fr
rue,fr
Bahnhofstraße,de
Tournez,fr
à,fr
droite,fr
sur,fr
la,fr
rue,fr
Bremer,de
Straße,de
Tournez,fr
à,fr
gauche,fr
sur,fr
la,fr
rue,fr
Kasseler,de
Straße,de
Continuez,fr
tout,fr
droit,fr
sur,fr
la,fr
rue,fr
B,fr
Prenez,fr
la,fr
sortie,fr
pour,fr
rejoindre,fr
l,fr
autoroute,fr
A,fr
en,fr
direction,fr
de,fr
Kassel,de
Partez,fr
de,fr
Piazza,it
del,it
Popolo,it
Prenez,fr
la,fr
Via,it
Flaminia,it
en,fr
direction,fr
de,fr
nord,fr
est,fr
Continuez,fr
tout,fr
droit,fr
sur,fr
la,fr
Via,it
Flaminia,it
pendant,fr
environ,fr
kilomètres,fr
Prenez,fr
la,fr
sortie,fr
pour,fr
l,fr
A,fr
E,fr
en,fr
direction,fr
de,fr
Firenze,it
Roma,it
Restez,fr
sur,fr
l,fr
A,fr
E,fr
pendant,fr
environ,fr
kilomètres,fr
Prenez,fr
la,fr
sortie,fr
pour,fr
l,fr
A,fr
E,fr
en,fr
direction,fr
de,fr
Ancona,it
Bologna,it
Restez,fr
sur,fr
l,fr
A,fr
E,fr
pendant,fr
environ,fr
kilomètres,fr
Prenez,fr
la,fr
sortie,fr
pour,fr
la,fr
SS,fr
en,fr
direction,fr
de,fr
Pescara,it
Napoli,it
Continuez,fr
sur,fr
la,fr
SS,fr
pendant,fr
environ,fr
kilomètres,fr
Prenez,fr
la,fr
sortie,fr
pour,fr
la,fr
SP,fr
en,fr
direction,fr
de,fr
Vasto,it
Tournez,fr
à,fr
gauche,fr
sur,fr
la,fr
SP,fr
et,fr
continuez,fr
pendant,fr
environ,fr
kilomètres,fr
Tournez,fr
à,fr
droite,fr
sur,fr
la,fr
Via,it
Torino,it
Tournez,fr
à,fr
gauche,fr
sur,fr
la,fr
Via,it
Napoli,it
Continuez,fr
tout,fr
droit,fr
sur,fr
la,fr
Via,it
Napoli,it
pendant,fr
environ,fr
kilomètres,fr
Tournez,fr
à,fr
droite,fr
sur,fr
la,fr
Via,it
Carducci,it
Tournez,fr
à,fr
gauche,fr
sur,fr
la,fr
Via,it
D,it
Annunzio,it
Tournez,fr
à,fr
droite,fr
sur,fr
la,fr
Via,it
San,it
Francesco,it
Tournez,fr
à,fr
gauche,fr
sur,fr
la,fr
Via,it
Genova,it
Tournez,fr
à,fr
droite,fr
sur,fr
la,fr
Via,fr
Regina,it
Elena,it
