index,MainLanguage,Category,Filename,SentenceIndex,Sentence,Word_x,wordLength,wordIsEN,sentenceIsEN,wordIsDE,sentenceIsDE,wordIsFR,sentenceIsFR,wordIsIT,sentenceIsIT,Word_y,Language
0,fr,Navigation,fr_Navigation,0,Départ en direction de la rue High Street.,Départ,6,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Départ,fr
1,fr,Navigation,fr_Navigation,0,Départ en direction de la rue High Street.,en,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,en,fr
2,fr,Navigation,fr_Navigation,0,Départ en direction de la rue High Street.,direction,9,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,direction,fr
3,fr,Navigation,fr_Navigation,0,Départ en direction de la rue High Street.,de,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,de,fr
4,fr,Navigation,fr_Navigation,0,Départ en direction de la rue High Street.,la,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,la,fr
5,fr,Navigation,fr_Navigation,0,Départ en direction de la rue High Street.,rue,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,rue,fr
6,fr,Navigation,fr_Navigation,0,Départ en direction de la rue High Street.,High,4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,High,en
7,fr,Navigation,fr_Navigation,0,Départ en direction de la rue High Street.,Street,6,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Street,en
8,fr,Navigation,fr_Navigation,1,Tournez à droite sur la rue Queen's Road.,Tournez,7,0.0,0.0,0.14,0.0,0.86,1.0,0.0,0.0,Tournez,fr
9,fr,Navigation,fr_Navigation,1,Tournez à droite sur la rue Queen's Road.,à,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,à,fr
10,fr,Navigation,fr_Navigation,1,Tournez à droite sur la rue Queen's Road.,droite,6,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,droite,fr
11,fr,Navigation,fr_Navigation,1,Tournez à droite sur la rue Queen's Road.,sur,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,sur,fr
12,fr,Navigation,fr_Navigation,1,Tournez à droite sur la rue Queen's Road.,la,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,la,fr
13,fr,Navigation,fr_Navigation,1,Tournez à droite sur la rue Queen's Road.,rue,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,rue,fr
14,fr,Navigation,fr_Navigation,1,Tournez à droite sur la rue Queen's Road.,Queen,5,0.86,0.0,0.0,0.0,0.14,1.0,0.0,0.0,Queen,en
15,fr,Navigation,fr_Navigation,1,Tournez à droite sur la rue Queen's Road.,s,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,s,en
16,fr,Navigation,fr_Navigation,1,Tournez à droite sur la rue Queen's Road.,Road,4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Road,en
17,fr,Navigation,fr_Navigation,2,Continuez tout droit sur la rue King's Avenue.,Continuez,9,0.0,0.14,0.0,0.0,0.14,0.86,0.86,0.0,Continuez,fr
18,fr,Navigation,fr_Navigation,2,Continuez tout droit sur la rue King's Avenue.,tout,4,1.0,0.14,0.0,0.0,0.0,0.86,0.0,0.0,tout,fr
19,fr,Navigation,fr_Navigation,2,Continuez tout droit sur la rue King's Avenue.,droit,5,0.0,0.14,0.0,0.0,1.0,0.86,0.0,0.0,droit,fr
20,fr,Navigation,fr_Navigation,2,Continuez tout droit sur la rue King's Avenue.,sur,3,0.0,0.14,0.0,0.0,1.0,0.86,0.0,0.0,sur,fr
21,fr,Navigation,fr_Navigation,2,Continuez tout droit sur la rue King's Avenue.,la,2,0.0,0.14,0.0,0.0,1.0,0.86,0.0,0.0,la,fr
22,fr,Navigation,fr_Navigation,2,Continuez tout droit sur la rue King's Avenue.,rue,3,0.0,0.14,0.0,0.0,1.0,0.86,0.0,0.0,rue,fr
23,fr,Navigation,fr_Navigation,2,Continuez tout droit sur la rue King's Avenue.,King,4,0.29,0.14,0.71,0.0,0.0,0.86,0.0,0.0,King,en
24,fr,Navigation,fr_Navigation,2,Continuez tout droit sur la rue King's Avenue.,s,1,0.0,0.14,0.0,0.0,1.0,0.86,0.0,0.0,s,en
25,fr,Navigation,fr_Navigation,2,Continuez tout droit sur la rue King's Avenue.,Avenue,6,0.0,0.14,0.0,0.0,1.0,0.86,0.0,0.0,Avenue,en
26,fr,Navigation,fr_Navigation,3,Prenez à gauche sur la rue Windsor Road.,Prenez,6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Prenez,fr
27,fr,Navigation,fr_Navigation,3,Prenez à gauche sur la rue Windsor Road.,à,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,à,fr
28,fr,Navigation,fr_Navigation,3,Prenez à gauche sur la rue Windsor Road.,gauche,6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,gauche,fr
29,fr,Navigation,fr_Navigation,3,Prenez à gauche sur la rue Windsor Road.,sur,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,sur,fr
30,fr,Navigation,fr_Navigation,3,Prenez à gauche sur la rue Windsor Road.,la,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,la,fr
31,fr,Navigation,fr_Navigation,3,Prenez à gauche sur la rue Windsor Road.,rue,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,rue,fr
32,fr,Navigation,fr_Navigation,3,Prenez à gauche sur la rue Windsor Road.,Windsor,7,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Windsor,en
33,fr,Navigation,fr_Navigation,3,Prenez à gauche sur la rue Windsor Road.,Road,4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Road,en
34,fr,Navigation,fr_Navigation,4,Continuez sur la rue Victoria Street.,Continuez,9,0.0,0.0,0.0,0.0,0.14,1.0,0.86,0.0,Continuez,fr
35,fr,Navigation,fr_Navigation,4,Continuez sur la rue Victoria Street.,sur,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,sur,fr
36,fr,Navigation,fr_Navigation,4,Continuez sur la rue Victoria Street.,la,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,la,fr
37,fr,Navigation,fr_Navigation,4,Continuez sur la rue Victoria Street.,rue,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,rue,fr
38,fr,Navigation,fr_Navigation,4,Continuez sur la rue Victoria Street.,Victoria,8,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Victoria,en
39,fr,Navigation,fr_Navigation,4,Continuez sur la rue Victoria Street.,Street,6,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Street,en
40,fr,Navigation,fr_Navigation,5,Tournez à droite sur la rue Albert Road.,Tournez,7,0.0,0.0,0.43,0.0,0.57,1.0,0.0,0.0,Tournez,fr
41,fr,Navigation,fr_Navigation,5,Tournez à droite sur la rue Albert Road.,à,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,à,fr
42,fr,Navigation,fr_Navigation,5,Tournez à droite sur la rue Albert Road.,droite,6,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,droite,fr
43,fr,Navigation,fr_Navigation,5,Tournez à droite sur la rue Albert Road.,sur,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,sur,fr
44,fr,Navigation,fr_Navigation,5,Tournez à droite sur la rue Albert Road.,la,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,la,fr
45,fr,Navigation,fr_Navigation,5,Tournez à droite sur la rue Albert Road.,rue,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,rue,fr
46,fr,Navigation,fr_Navigation,5,Tournez à droite sur la rue Albert Road.,Albert,6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Albert,en
47,fr,Navigation,fr_Navigation,5,Tournez à droite sur la rue Albert Road.,Road,4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Road,en
48,fr,Navigation,fr_Navigation,6,Continuez sur la rue Main Street.,Continuez,9,0.0,0.0,0.0,0.0,0.14,1.0,0.86,0.0,Continuez,fr
49,fr,Navigation,fr_Navigation,6,Continuez sur la rue Main Street.,sur,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,sur,fr
50,fr,Navigation,fr_Navigation,6,Continuez sur la rue Main Street.,la,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,la,fr
51,fr,Navigation,fr_Navigation,6,Continuez sur la rue Main Street.,rue,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,rue,fr
52,fr,Navigation,fr_Navigation,6,Continuez sur la rue Main Street.,Main,4,0.71,0.0,0.29,0.0,0.0,1.0,0.0,0.0,Main,en
53,fr,Navigation,fr_Navigation,6,Continuez sur la rue Main Street.,Street,6,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Street,en
54,fr,Navigation,fr_Navigation,7,Tournez à gauche sur la rue Park Avenue.,Tournez,7,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Tournez,fr
55,fr,Navigation,fr_Navigation,7,Tournez à gauche sur la rue Park Avenue.,à,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,à,fr
56,fr,Navigation,fr_Navigation,7,Tournez à gauche sur la rue Park Avenue.,gauche,6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,gauche,fr
57,fr,Navigation,fr_Navigation,7,Tournez à gauche sur la rue Park Avenue.,sur,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,sur,fr
58,fr,Navigation,fr_Navigation,7,Tournez à gauche sur la rue Park Avenue.,la,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,la,fr
59,fr,Navigation,fr_Navigation,7,Tournez à gauche sur la rue Park Avenue.,rue,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,rue,fr
60,fr,Navigation,fr_Navigation,7,Tournez à gauche sur la rue Park Avenue.,Park,4,0.37,0.0,0.63,0.0,0.0,1.0,0.0,0.0,Park,en
61,fr,Navigation,fr_Navigation,7,Tournez à gauche sur la rue Park Avenue.,Avenue,6,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Avenue,en
62,fr,Navigation,fr_Navigation,8,Prenez à droite sur la rue Elm Street.,Prenez,6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Prenez,fr
63,fr,Navigation,fr_Navigation,8,Prenez à droite sur la rue Elm Street.,à,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,à,fr
64,fr,Navigation,fr_Navigation,8,Prenez à droite sur la rue Elm Street.,droite,6,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,droite,fr
65,fr,Navigation,fr_Navigation,8,Prenez à droite sur la rue Elm Street.,sur,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,sur,fr
66,fr,Navigation,fr_Navigation,8,Prenez à droite sur la rue Elm Street.,la,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,la,fr
67,fr,Navigation,fr_Navigation,8,Prenez à droite sur la rue Elm Street.,rue,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,rue,fr
68,fr,Navigation,fr_Navigation,8,Prenez à droite sur la rue Elm Street.,Elm,3,0.0,0.0,0.57,0.0,0.43,1.0,0.0,0.0,Elm,en
