index,MainLanguage,Category,Filename,SentenceIndex,Sentence,Word,wordLength,wordIsEN,sentenceIsEN,wordIsDE,sentenceIsDE,wordIsFR,sentenceIsFR,wordIsIT,sentenceIsIT
0,fr,Navigation,fr_Navigation,0,Départ en direction de la rue High Street.,Départ,6,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1,fr,Navigation,fr_Navigation,0,Départ en direction de la rue High Street.,en,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2,fr,Navigation,fr_Navigation,0,Départ en direction de la rue High Street.,direction,9,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
3,fr,Navigation,fr_Navigation,0,Départ en direction de la rue High Street.,de,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
4,fr,Navigation,fr_Navigation,0,Départ en direction de la rue High Street.,la,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
5,fr,Navigation,fr_Navigation,0,Départ en direction de la rue High Street.,rue,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
6,fr,Navigation,fr_Navigation,0,Départ en direction de la rue High Street.,High,4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7,fr,Navigation,fr_Navigation,0,Départ en direction de la rue High Street.,Street,6,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8,fr,Navigation,fr_Navigation,1,Tournez à droite sur la rue Queen's Road.,Tournez,7,0.0,0.0,0.14,0.0,0.86,1.0,0.0,0.0
9,fr,Navigation,fr_Navigation,1,Tournez à droite sur la rue Queen's Road.,à,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
10,fr,Navigation,fr_Navigation,1,Tournez à droite sur la rue Queen's Road.,droite,6,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
11,fr,Navigation,fr_Navigation,1,Tournez à droite sur la rue Queen's Road.,sur,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
12,fr,Navigation,fr_Navigation,1,Tournez à droite sur la rue Queen's Road.,la,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
13,fr,Navigation,fr_Navigation,1,Tournez à droite sur la rue Queen's Road.,rue,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
14,fr,Navigation,fr_Navigation,1,Tournez à droite sur la rue Queen's Road.,Queen,5,0.86,0.0,0.0,0.0,0.14,1.0,0.0,0.0
15,fr,Navigation,fr_Navigation,1,Tournez à droite sur la rue Queen's Road.,s,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
16,fr,Navigation,fr_Navigation,1,Tournez à droite sur la rue Queen's Road.,Road,4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
