Word,Language
Je,fr
suis,fr
en,fr
train,fr
de,fr
regarder,fr
mon,fr
émission,fr
de,fr
télé,fr
préférée,fr
en,fr
mode,fr
binge,en
watch,en
NetflixandChill,en
sérieaddict,fr
J,fr
adore,fr
mon,fr
nouveau,fr
job,en
mais,fr
le,fr
stress,fr
est,fr
réel,fr
Time,en
to,en
practice,en
some,en
mindfulness,en
selfcare,en
méditation,en
Je,fr
suis,fr
toujours,fr
en,fr
train,fr
de,fr
hustler,en
pour,fr
mes,fr
projets,fr
même,fr
les,fr
weekends,en
entrepreneur,fr
hustle,en
J,fr
adore,fr
écouter,fr
de,fr
la,fr
musique,fr
en,fr
travaillant,fr
ça,fr
me,fr
donne,fr
des,fr
good,en
vibes,en
productivité,fr
musique,fr
J,fr
ai,fr
tellement,fr
de,fr
choses,fr
à,fr
faire,fr
je,fr
vais,fr
avoir,fr
besoin,fr
d,fr
un,fr
to,en
do,en
list,en
pour,fr
m,fr
organiser,fr
productivité,fr
organisation,fr
Je,fr
viens,fr
de,fr
commander,fr
des,fr
nouveaux,fr
leggings,en
de,fr
yoga,fr
fitfam,en
sportive,fr
Je,fr
suis,fr
en,fr
train,fr
de,fr
préparer,fr
mon,fr
prochain,fr
voyage,fr
et,fr
je,fr
ne,fr
peux,fr
pas,fr
attendre,fr
de,fr
découvrir,fr
de,fr
nouvelles,fr
cultures,fr
wanderlust,de
aventure,fr
Je,fr
suis,fr
un,fr
vrai,fr
night,en
owl,en
je,fr
suis,fr
souvent,fr
en,fr
train,fr
de,fr
travailler,fr
tard,fr
le,fr
soir,fr
productivité,fr
travailleur,fr
Je,fr
suis,fr
en,fr
train,fr
de,fr
faire,fr
du,fr
shopping,en
en,fr
ligne,fr
et,fr
j,fr
ai,fr
trouvé,fr
des,fr
super,fr
deals,fr
sur,fr
des,fr
produits,fr
de,fr
beauté,fr
beauté,fr
shopping,en
Je,fr
suis,fr
en,fr
train,fr
de,fr
faire,fr
un,fr
peu,fr
de,fr
networking,en
c,fr
est,fr
important,fr
pour,fr
mon,fr
business,en
networking,en
entrepreneur,fr
Je,fr
suis,fr
un,fr
peu,fr
fatiguée,fr
aujourd,fr
hui,fr
je,fr
vais,fr
prendre,fr
un,fr
petit,fr
break,en
et,fr
regarder,fr
un,fr
film,fr
cinéphile,fr
détente,fr
Ich,de
liebe,de
es,de
mein,de
Frühstück,de
mit,de
einem,de
leckeren,de
Brötchen,de
zu,de
beginnen,de
frühstück,de
germanlove,de
Je,fr
suis,fr
tellement,fr
in,fr
love,fr
avec,fr
les,fr
Brezeln,de
allemandes,fr
brezel,fr
delicieux,fr
Le,fr
concept,fr
de,fr
gemütlichkeit,en
me,fr
manque,fr
beaucoup,fr
germanwords,en
nostalgie,fr
Ich,de
habe,de
heute,de
Morgen,de
mein,de
Lieblingswort,de
entdeckt,de
Schadenfreude,de
germanwords,en
lustig,de
Les,fr
Allemands,fr
savent,fr
vraiment,fr
comment,fr
faire,fr
du,fr
bon,fr
fromage,fr
käse,de
lecker,de
Les,fr
mots,fr
allemands,fr
ont,fr
une,fr
telle,fr
précision,fr
j,fr
aime,fr
particulièrement,fr
Wanderlust,de
germanwords,en
reiselust,de
Une,fr
tasse,fr
de,fr
Kaffee,de
allemand,fr
est,fr
toujours,fr
une,fr
bonne,fr
idée,fr
kaffee,de
gutenmorgen,de
Les,fr
gâteaux,fr
allemands,fr
sont,fr
tellement,fr
délicieux,fr
j,fr
adore,fr
le,fr
Schwarzwälder,de
Kirschtorte,de
kuchen,de
genuss,de
J,fr
aime,fr
beaucoup,fr
le,fr
mot,fr
allemand,fr
Fingerspitzengefühl,de
germanwords,en
précision,fr
Ich,de
liebe,de
es,de
deutsche,de
Musik,de
zu,de
hören,de
besonders,de
Rammstein,de
musik,de
deutschrock,de
J,fr
adore,fr
l,it
espresso,it
italien,fr
C,fr
est,fr
le,fr
meilleur,fr
café,fr
du,fr
monde,fr
coffee,fr
italianstyle,fr
Je,fr
viens,fr
de,fr
regarder,fr
un,fr
film,fr
italien,fr
incroyable,fr
appelé,fr
La,it
vita,it
è,it
bella,it
C,fr
était,fr
tellement,fr
émouvant,fr
italianfilm,fr
cinema,fr
J,fr
aime,fr
beaucoup,fr
écouter,fr
de,fr
la,fr
musique,fr
italienne,fr
surtout,fr
Eros,it
Ramazzotti,it
et,fr
Laura,it
Pausini,it
italianmusic,en
melodies,fr
J,fr
adore,fr
les,fr
voitures,fr
italiennes,fr
comme,fr
la,fr
Ferrari,it
et,fr
la,fr
Lamborghini,it
Elles,fr
sont,fr
si,fr
élégantes,fr
et,fr
puissantes,fr
supercars,fr
italianengineering,fr
Mon,fr
parfum,fr
préféré,fr
est,fr
italien,fr
c,fr
est,fr
Acqua,it
di,fr
Gio,fr
de,fr
Giorgio,it
Armani,it
C,fr
est,fr
