Word,Language
La,fr
technologie,fr
a,fr
toujours,fr
été,fr
un,fr
domaine,fr
où,fr
les,fr
mots,fr
étrangers,fr
sont,fr
couramment,fr
utilisés,fr
L,fr
utilisation,fr
d,fr
un,fr
ordinateur,fr
est,fr
aujourd,fr
hui,fr
presque,fr
ubiquitaire,fr
On,fr
parle,fr
souvent,fr
de,fr
hardware,en
pour,fr
désigner,fr
les,fr
composants,fr
matériels,fr
Le,fr
software,en
quant,fr
à,fr
lui,fr
fait,fr
référence,fr
aux,fr
programmes,fr
et,fr
applications,fr
Les,fr
anglophones,fr
emploient,fr
souvent,fr
le,fr
terme,fr
laptop,en
pour,fr
parler,fr
d,fr
un,fr
ordinateur,fr
portable,fr
Les,fr
développeurs,fr
utilisent,fr
un,fr
framework,en
pour,fr
faciliter,fr
la,fr
création,fr
de,fr
logiciels,fr
Un,fr
smartphone,en
est,fr
désormais,fr
un,fr
objet,fr
indispensable,fr
pour,fr
la,fr
plupart,fr
d,fr
entre,fr
nous,fr
Le,fr
mot,fr
allemand,fr
Geschwindigkeitsbegrenzung,de
signifie,fr
limitation,fr
de,fr
vitesse,fr
en,fr
français,fr
En,fr
science,fr
la,fr
Schwerelosigkeit,de
est,fr
l,fr
absence,fr
de,fr
pesanteur,fr
souvent,fr
observée,fr
en,fr
microgravité,fr
L,fr
astronautique,fr
a,fr
donné,fr
naissance,fr
au,fr
terme,fr
Weltraum,de
pour,fr
désigner,fr
l,fr
espace,fr
Le,fr
mot,fr
italien,fr
velocità,it
signifie,fr
vitesse,fr
une,fr
notion,fr
importante,fr
en,fr
physique,fr
Lorsque,fr
l,fr
on,fr
parle,fr
de,fr
nanotecnologia,it
on,fr
évoque,fr
la,fr
manipulation,fr
de,fr
la,fr
matière,fr
à,fr
l,fr
échelle,fr
nanométrique,fr
Les,fr
droni,it
sont,fr
des,fr
appareils,fr
volants,fr
sans,fr
pilote,fr
à,fr
bord,fr
souvent,fr
utilisés,fr
pour,fr
la,fr
surveillance,fr
La,fr
biotecnologia,it
est,fr
l,fr
utilisation,fr
d,fr
organismes,fr
vivants,fr
pour,fr
créer,fr
de,fr
nouveaux,fr
produits,fr
et,fr
procédés,fr
La,fr
fotovoltaico,it
est,fr
une,fr
technologie,fr
qui,fr
permet,fr
de,fr
convertir,fr
la,fr
lumière,fr
du,fr
soleil,fr
en,fr
énergie,fr
électrique,fr
Les,fr
cellule,it
staminali,it
sont,fr
des,fr
cellules,fr
indifférenciées,fr
capables,fr
de,fr
se,fr
différencier,fr
en,fr
plusieurs,fr
types,fr
cellulaires,fr
La,fr
palestra,it
italienne,fr
est,fr
un,fr
lieu,fr
où,fr
l,fr
on,fr
pratique,fr
des,fr
activités,fr
sportives,fr
parfois,fr
liées,fr
à,fr
la,fr
science,fr
du,fr
sport,fr
L,fr
écologie,fr
utilise,fr
le,fr
concept,fr
allemand,fr
de,fr
Nachhaltigkeit,de
pour,fr
décrire,fr
le,fr
développement,fr
durable,fr
La,fr
Gentechnik,de
est,fr
une,fr
méthode,fr
d,fr
ingénierie,fr
génétique,fr
pour,fr
modifier,fr
les,fr
gènes,fr
d,fr
un,fr
organisme,fr
Le,fr
mot,fr
Glasfaser,de
fait,fr
référence,fr
à,fr
la,fr
fibre,fr
de,fr
verre,fr
utilisée,fr
dans,fr
de,fr
nombreux,fr
domaines,fr
technologiques,fr
Le,fr
mot,fr
Wissenschaftler,de
désigne,fr
un,fr
scientifique,fr
en,fr
allemand,fr
Un,fr
Ingenieur,fr
est,fr
un,fr
professionnel,fr
spécialisé,fr
dans,fr
l,fr
application,fr
des,fr
connaissances,fr
scientifiques,fr
L,de
Internet,de
der,de
Dinge,de
est,fr
un,fr
concept,fr
qui,fr
décrit,fr
un,fr
réseau,fr
d,fr
objets,fr
connectés,fr
Le,fr
Spam,en
est,fr
un,fr
fléau,fr
qui,fr
encombre,fr
nos,fr
boîtes,fr
de,fr
réception,fr
électroniques,fr
La,fr
künstliche,de
Intelligenz,de
est,fr
une,fr
technologie,fr
visant,fr
à,fr
reproduire,fr
l,fr
intelligence,fr
humaine,fr
Le,fr
Deep,en
Learning,en
est,fr
une,fr
sous,fr
catégorie,fr
de,fr
l,fr
intelligence,fr
artificielle,fr
basée,fr
sur,fr
les,fr
réseaux,fr
de,fr
neurones,fr
Les,fr
Wearables,en
sont,fr
des,fr
dispositifs,fr
électroniques,fr
portables,fr
qui,fr
interagissent,fr
avec,fr
notre,fr
corps,fr
Le,fr
mot,fr
allemand,fr
Fernsehen,de
signifie,fr
télévision,fr
un,fr
média,fr
toujours,fr
présent,fr
aujourd,fr
hui,fr
Le,fr
Streaming,en
est,fr
une,fr
technologie,fr
permettant,fr
la,fr
lecture,fr
en,fr
continu,fr
de,fr
contenus,fr
audiovisuels,fr
Enfin,fr
le,fr
Big,en
Data,en
est,fr
un,fr
terme,fr
qui,fr
désigne,fr
l,fr
analyse,fr
et,fr
l,fr
exploitation,fr
de,fr
larges,fr
volumes,fr
de,fr
données,fr
