index,MainLanguage,Category,Filename,SentenceIndex,Sentence,Word,wordLength,wordIsEN,sentenceIsEN,wordIsDE,sentenceIsDE,wordIsFR,sentenceIsFR,wordIsIT,sentenceIsIT
0,fr,TechnologyAndScience,fr_TechnologyAndScience,0,La technologie a toujours été un domaine où les mots étrangers sont couramment utilisés.,La,2,0.0,0.0,0.0,0.0,0.96,1.0,0.0,0.0
1,fr,TechnologyAndScience,fr_TechnologyAndScience,0,La technologie a toujours été un domaine où les mots étrangers sont couramment utilisés.,technologie,11,0.0,0.0,0.29,0.0,0.14,1.0,0.57,0.0
2,fr,TechnologyAndScience,fr_TechnologyAndScience,0,La technologie a toujours été un domaine où les mots étrangers sont couramment utilisés.,a,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,fr,TechnologyAndScience,fr_TechnologyAndScience,0,La technologie a toujours été un domaine où les mots étrangers sont couramment utilisés.,toujours,8,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
4,fr,TechnologyAndScience,fr_TechnologyAndScience,0,La technologie a toujours été un domaine où les mots étrangers sont couramment utilisés.,été,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
5,fr,TechnologyAndScience,fr_TechnologyAndScience,0,La technologie a toujours été un domaine où les mots étrangers sont couramment utilisés.,un,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
6,fr,TechnologyAndScience,fr_TechnologyAndScience,0,La technologie a toujours été un domaine où les mots étrangers sont couramment utilisés.,domaine,7,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
7,fr,TechnologyAndScience,fr_TechnologyAndScience,0,La technologie a toujours été un domaine où les mots étrangers sont couramment utilisés.,où,2,0.0,0.0,0.0,0.0,0.86,1.0,0.14,0.0
8,fr,TechnologyAndScience,fr_TechnologyAndScience,0,La technologie a toujours été un domaine où les mots étrangers sont couramment utilisés.,les,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
9,fr,TechnologyAndScience,fr_TechnologyAndScience,0,La technologie a toujours été un domaine où les mots étrangers sont couramment utilisés.,mots,4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
10,fr,TechnologyAndScience,fr_TechnologyAndScience,0,La technologie a toujours été un domaine où les mots étrangers sont couramment utilisés.,étrangers,9,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
11,fr,TechnologyAndScience,fr_TechnologyAndScience,0,La technologie a toujours été un domaine où les mots étrangers sont couramment utilisés.,sont,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
