Word,Language
Il,it
termine,it
stream,en
of,en
consciousness,en
è,it
stato,it
coniato,it
da,it
William,en
James,en
nella,it
sua,it
opera,it
The,en
Principles,en
of,en
Psychology,en
Il,it
movimento,it
artistico,it
Bauhaus,de
nato,en
in,it
Germania,it
nel,it
è,it
stato,it
fondamentale,it
per,it
lo,it
sviluppo,it
dell,it
architettura,it
moderna,it
Nella,it
poesia,it
italiana,it
del,it
Novecento,it
la,it
figura,it
del,it
poeta,it
maledetto,it
è,it
stata,it
influenzata,it
dalla,it
figura,it
del,it
poeta,it
francese,it
Arthur,it
Rimbaud,it
Il,it
termine,it
avant,fr
garde,fr
viene,it
spesso,it
utilizzato,it
per,it
definire,it
quegli,it
artisti,it
che,it
si,it
pongono,it
all,it
avanguardia,it
della,it
ricerca,it
artistica,it
Il,it
poema,it
epico,it
Beowulf,de
è,it
considerato,it
uno,it
dei,it
più,it
importanti,it
capolavori,it
della,it
letteratura,it
inglese,it
antica,it
Nella,it
narrativa,it
tedesca,it
il,it
termine,it
bildungsroman,de
viene,it
utilizzato,it
per,it
descrivere,it
romanzi,it
che,it
narrano,it
la,it
crescita,it
e,it
la,it
formazione,it
del,it
protagonista,it
Il,it
termine,it
kitsch,de
viene,it
spesso,it
utilizzato,it
per,it
definire,it
quelle,it
opere,it
d,it
arte,it
considerate,it
di,it
cattivo,it
gusto,it
o,it
banali,it
Il,it
movimento,it
artistico,it
Pop,en
Art,en
è,it
nato,it
in,it
Inghilterra,it
negli,it
anni,it
per,it
poi,it
diffondersi,it
negli,it
Stati,it
Uniti,it
Il,it
poeta,it
austriaco,it
Rainer,it
Maria,it
Rilke,it
è,it
stato,it
uno,it
dei,it
maggiori,it
esponenti,it
della,it
letteratura,it
europea,it
del,it
primo,it
Novecento,it
La,it
teoria,it
della,it
Gestalt,de
è,it
stata,it
sviluppata,it
in,it
Germania,it
alla,it
fine,it
dell,it
Ottocento,it
per,it
studiare,it
i,it
processi,it
di,it
percezione,it
umana,it
Il,it
termine,it
zeitgeist,de
viene,it
spesso,it
utilizzato,it
per,it
descrivere,it
lo,it
spirito,it
culturale,it
dominante,it
in,it
un,it
determinato,it
periodo,it
storico,it
Il,it
romanzo,it
Der,de
Prozess,de
di,it
Franz,de
Kafka,de
è,it
considerato,it
un,it
capolavoro,it
della,it
letteratura,it
tedesca,it
del,it
Novecento,it
La,it
parola,it
francese,it
ennui,fr
viene,it
spesso,it
utilizzata,it
per,it
descrivere,it
la,it
noia,it
esistenziale,it
e,it
la,it
malinconia,it
La,it
parola,it
inglese,it
masterpiece,en
viene,it
spesso,it
utilizzata,it
per,it
descrivere,it
un,it
opera,it
d,it
arte,it
di,it
eccezionale,it
bellezza,it
e,it
valore,it
estetico,it
Il,it
filosofo,it
tedesco,it
Friedrich,de
Nietzsche,de
è,it
stato,it
uno,it
dei,it
maggiori,it
pensatori,it
del,it
XIX,it
secolo,it
noto,it
per,it
le,it
sue,it
teorie,it
sulla,it
morale,it
e,it
la,it
religione,it
Il,it
termine,it
art,fr
nouveau,fr
viene,it
spesso,it
utilizzato,it
per,it
descrivere,it
uno,it
stile,it
artistico,it
che,it
si,it
è,it
sviluppato,it
alla,it
fine,it
dell,it
Ottocento,it
Il,it
poeta,it
inglese,it
William,en
Wordsworth,en
è,it
stato,it
uno,it
dei,it
maggiori,it
esponenti,it
del,it
Romanticismo,it
noto,it
per,it
la,it
sua,it
poesia,it
sulla,it
natura,it
e,it
la,it
spiritualità,it
La,it
parola,it
tedesca,it
schadenfreude,de
viene,it
spesso,it
utilizzata,it
per,it
descrivere,it
il,it
piacere,it
provato,it
davanti,it
alla,it
sfortuna,it
altrui,it
Il,it
pittore,it
francese,it
Claude,it
Monet,it
è,it
stato,it
uno,it
dei,it
maggiori,it
esponenti,it
dell,it
Impressionismo,it
noto,it
per,it
i,it
suoi,it
dipinti,it
di,it
paesaggi,it
e,it
nature,it
morte,it
La,it
poesia,it
tedesca,it
del,it
Romanticismo,it
è,it
stata,it
influenzata,it
dalla,it
figura,it
del,it
poeta,it
inglese,it
William,en
Shakespeare,en
Il,it
termine,it
existentialism,en
viene,it
spesso,it
utilizzato,it
per,it
descrivere,it
una,it
corrente,it
filosofica,it
che,it
si,it
è,it
sviluppata,it
in,it
Europa,it
nel,it
XX,it
secolo,it
Il,it
termine,it
femme,fr
fatale,fr
viene,it
spesso,it
utilizzato,it
per,it
descrivere,it
una,it
donna,it
seducente,it
e,it
pericolosa,it
spesso,it
presente,it
nella,it
letteratura,it
noir,fr
La,it
poesia,it
inglese,it
del,it
Settecento,it
è,it
stata,it
influenzata,it
dalla,it
figura,it
del,it
poeta,it
italiano,it
Dante,it
Alighieri,it
Il,it
termine,it
doppelgänger,de
viene,it
spesso,it
utilizzato,it
per,it
descrivere,it
un,it
immagine,it
riflessa,it
di,it
se,it
stessi,it
spesso,it
presente,it
nella,it
letteratura,it
gotica,it
Il,it
termine,it
Gothic,en
viene,it
spesso,it
utilizzato,it
per,it
descrivere,it
un,it
genere,it
letterario,it
e,it
cinematografico,it
che,it
si,it
ispira,it
all,it
atmosfera,it
tenebrosa,it
e,it
misteriosa,it
dell,it
epoca,it
gotica,it
Il,it
compositore,it
tedesco,it
Ludwig,de
van,de
Beethoven,de
è,it
stato,it
uno,it
dei,it
maggiori,it
esponenti,it
della,it
musica,it
classica,it
noto,it
per,it
le,it
sue,it
sinfonie,it
e,it
i,it
suoi,it
concerti,it
per,it
pianoforte,it
