Word,Language
Andremo,it
sull,de
Autobahn,de
per,it
raggiungere,it
più,it
velocemente,it
la,it
città,it
In,it
Germania,it
si,it
beve,it
molta,it
Bier,it
Adoro,it
mangiare,it
la,it
Bratwurst,de
durante,it
il,it
festival,it
Il,it
mio,it
amico,it
è,it
un,it
Doppelgänger,de
di,it
un,it
famoso,it
attore,it
Con,it
questa,it
macchina,it
il,it
Fahrvergnügen,de
è,it
assicurato,it
Gesundheit,it
Mi,it
hai,it
fatto,it
starnutire,it
Il,it
mio,it
cellulare,it
è,it
Kaputt,de
devo,it
comprarne,it
uno,it
nuovo,it
La,it
mia,it
bambina,it
inizia,it
il,it
Kindergarten,de
a,it
settembre,it
Quel,fr
souvenir,fr
è,it
davvero,it
Kitsch,de
Ho,it
perso,it
il,it
mio,it
Kugelschreiber,it
ne,it
hai,it
uno,it
di,it
scorta,it
Ho,it
comprato,it
un,it
Rucksack,de
nuovo,it
per,it
il,it
viaggio,it
Stasera,it
preparerò,it
uno,it
Schnitzel,de
per,it
cena,it
Questo,it
libro,it
è,it
Über,de
interessante,it
Il,it
mio,it
sogno,it
è,it
possedere,it
una,it
Volkswagen,de
La,it
vista,it
dalla,it
montagna,it
è,it
Wunderbar,de
Lo,it
Zeitgeist,de
di,it
oggi,it
sembra,it
molto,it
diverso,it
da,it
quello,it
di,it
anni,it
fa,it
Dormiremo,it
in,it
una,it
Zelt,de
durante,it
il,it
campeggio,it
Mi,it
sento,it
in,it
Zugzwang,de
quando,it
mi,it
chiedi,it
di,it
scegliere,it
Il,it
guerriero,it
impugnava,it
un,it
temibile,it
Zweihänder,de
La,it
Schadenfreude,de
non,it
è,it
una,it
bella,it
cosa,it
Mia,it
sorella,it
ha,it
appena,it
avuto,it
un,it
Baby,it
Ho,it
incontrato,it
l,it
attore,it
nel,it
Backstage,en
del,it
teatro,it
Ho,it
dimenticato,it
il,it
mio,it
Beauty,en
case,it
a,it
casa,it
Ho,it
affittato,it
un,it
garage,en
per,it
il,it
mio,it
Box,en
auto,it
Il,it
Budget,en
per,it
il,it
progetto,it
è,it
limitato,it
Il,it
Business,en
di,it
mio,it
padre,it
sta,it
andando,it
bene,it
Bye,en
bye,en
ci,it
vediamo,it
domani,it
Ho,it
bisogno,it
di,it
prelevare,it
del,it
Cash,en
dal,it
bancomat,en
Quel,fr
film,fr
era,it
davvero,it
Cool,en
Il,it
Design,en
di,it
questa,it
sedia,it
è,it
moderno,it
Questa,it
canzone,it
è,it
un,it
vero,it
Evergreen,en
Quella,it
borsa,it
sembra,it
un,it
Fake,en
La,it
settimana,it
della,it
moda,it
è,it
l,it
evento,it
Fashion,en
dell,it
anno,it
Mi,it
dai,it
un,it
Feedback,en
sul,it
mio,it
lavoro,it
Devo,it
tornare,it
in,it
forma,it
mi,it
iscriverò,it
in,it
palestra,it
per,it
fare,it
Fitness,en
Il,it
Food,en
truck,en
vende,it
cibo,it
di,it
strada,it
Ho,it
ricevuto,it
un,it
Gadget,en
come,it
omaggio,it
Ha,it
segnato,it
un,it
Goal,it
spettacolare,it
Il,it
mio,it
Hobby,en
è,it
la,it
fotografia,it
La,it
Jet,en
set,en
ama,it
trascorrere,it
le,it
vacanze,it
in,it
località,it
esclusive,it
Ordinerò,it
il,it
mio,it
piatto,it
À,it
la,it
carte,it
Dopo,it
una,it
giornata,it
di,it
sci,it
ci,it
rilassiamo,it
nell,fr
Après,fr
ski,fr
Non,it
dimenticare,it
di,it
comprare,it
la,it
Baguette,fr
per,it
la,it
cena,it
Ho,it
trovato,it
un,it
tesoro,it
nel,it
Bric,fr
à,fr
brac,fr
del,it
mercatino,it
Stasera,it
andiamo,it
a,it
vedere,it
uno,it
spettacolo,it
di,it
Cabaret,fr
Quel,fr
film,fr
si,it
basa,it
su,it
un,it
Cliché,fr
Ho,it
un,it
appuntamento,it
dal,it
Coiffeur,fr
domani,it
Ordinerò,it
la,fr
Crème,fr
brûlée,fr
come,it
dessert,it
Ho,it
avuto,it
un,it
forte,it
Déjà,fr
vu,fr
entrando,it
in,it
questa,it
stanza,it
Ho,it
conosciuto,it
una,it
persona,it
interessante,it
En,fr
passant,fr
Il,it
ballerino,it
ha,it
eseguito,it
un,it
perfetto,it
Entrechat,it
