Word,Language
Parti,it
in,it
direzione,it
sud,it
ovest,it
sulla,it
Rue,fr
de,fr
Rivoli,fr
verso,it
la,it
Place,it
de,it
l,fr
Hôtel,fr
de,fr
Ville,fr
Continua,it
dritto,it
su,it
Quai,fr
des,fr
Célestins,fr
Alla,it
rotonda,it
prendi,it
la,it
seconda,it
uscita,it
e,it
rimani,it
su,it
Quai,fr
des,fr
Célestins,fr
Alla,it
successiva,it
rotonda,it
prendi,it
la,it
prima,it
uscita,it
e,it
continua,it
su,it
Quai,fr
de,fr
la,fr
Rapée,fr
Svolta,it
a,it
sinistra,it
su,it
Boulevard,fr
de,fr
la,fr
Bastille,fr
Continua,it
su,it
Rue,fr
du,fr
Faubourg,fr
Saint,fr
Antoine,fr
Svolta,it
a,it
destra,it
su,it
Avenue,fr
Ledru,fr
Rollin,fr
Alla,it
rotonda,it
prendi,it
la,it
seconda,it
uscita,it
e,it
rimani,it
su,it
Avenue,fr
Ledru,fr
Rollin,fr
Alla,it
successiva,it
rotonda,it
prendi,it
la,it
seconda,it
uscita,it
e,it
rimani,it
su,it
Avenue,fr
Ledru,fr
Rollin,fr
Svolta,it
a,it
destra,it
su,it
Rue,fr
Claude,fr
Decaen,fr
Alla,it
successiva,it
rotonda,it
prendi,it
la,it
seconda,it
uscita,it
e,it
rimani,it
su,it
Rue,fr
Claude,fr
Decaen,fr
Alla,it
successiva,it
rotonda,it
prendi,it
la,it
prima,it
uscita,it
e,it
continua,it
su,it
Avenue,fr
de,fr
la,fr
Porte,fr
de,fr
Charenton,fr
Alla,it
successiva,it
rotonda,it
prendi,it
la,it
terza,it
uscita,it
e,it
rimani,it
su,it
Avenue,fr
de,fr
la,fr
Porte,fr
de,fr
Charenton,fr
Inizia,it
sulla,it
A,it
in,it
direzione,it
sud,it
ovest,it
verso,it
Köln,de
Prendi,it
l,it
uscita,it
Kreuz,de
Leverkusen,de
per,it
la,it
A,it
in,it
direzione,it
di,it
Frankfurt,de
Continua,it
sulla,it
A,it
per,it
circa,it
km,it
Prendi,it
l,it
uscita,it
Würzburg,de
Est,de
in,it
direzione,it
di,it
A,it
Continua,it
sulla,it
A,it
per,it
circa,it
km,it
Prendi,it
l,it
uscita,it
Heilbronn,de
Untergruppenbach,de
e,it
segui,it
le,it
indicazioni,it
per,it
Heilbronn,de
Svolta,it
a,it
destra,it
sulla,it
B,it
Alla,it
rotonda,it
prendi,it
la,it
seconda,it
uscita,it
sulla,it
B,it
Alla,it
rotonda,it
prendi,it
la,it
seconda,it
uscita,it
sulla,it
B,it
in,it
direzione,it
di,it
Tübingen,de
Alla,it
rotonda,it
prendi,it
la,it
seconda,it
uscita,it
sulla,it
B,it
Alla,it
rotonda,it
prendi,it
la,it
seconda,it
uscita,it
sulla,it
B,it
Alla,it
rotonda,it
prendi,it
la,it
terza,it
uscita,it
sulla,it
B,it
in,it
direzione,it
di,it
Ulm,it
Alla,it
rotonda,it
prendi,it
la,it
prima,it
uscita,it
sulla,it
B,it
in,it
direzione,it
di,it
Memmingen,de
Alla,it
rotonda,it
successiva,it
prendi,it
la,it
terza,it
uscita,it
per,it
la,it
A,it
in,it
direzione,it
di,it
Heathrow,en
e,it
Hounslow,en
Continua,it
sulla,it
A,it
per,it
circa,it
chilometri,it
poi,it
prendi,it
l,it
uscita,it
per,it
la,it
M,it
in,it
direzione,it
di,it
Watford,it
e,it
Heathrow,en
Dopo,it
circa,it
chilometri,it
prendi,it
l,it
uscita,it
per,it
la,it
M,it
in,it
direzione,it
di,it
Oxford,en
Continua,it
sulla,it
M,it
per,it
circa,it
chilometri,it
poi,it
prendi,it
l,it
uscita,it
per,it
la,it
A,it
verso,it
Newbury,en
Continua,it
sulla,it
A,it
per,it
circa,it
chilometri,it
poi,it
prendi,it
l,it
uscita,it
per,it
la,it
A,it
verso,it
Andover,en
Continua,it
sulla,it
A,it
per,it
circa,it
chilometri,it
poi,it
prendi,it
l,it
uscita,it
per,it
la,it
A,it
verso,it
Salisbury,en
Continua,it
sulla,it
A,it
per,it
circa,it
chilometri,it
poi,it
prendi,it
l,it
uscita,it
per,it
la,it
A,it
verso,it
Dorchester,en
e,it
Wimborne,en
Continua,it
sulla,it
A,it
per,it
circa,it
chilometri,it
poi,it
prendi,it
l,it
uscita,it
per,it
la,it
A,it
verso,it
Poole,it
e,it
Bournemouth,en
Dopo,it
circa,it
chilometro,it
svoltare,it
a,it
sinistra,it
sulla,it
Bath,it
Road,it
Dopo,it
circa,it
metri,it
svoltare,it
a,it
destra,it
su,it
West,en
Hill,en
Road,en
Continua,it
dritto,it
su,it
West,en
Hill,en
Road,en
per,it
circa,it
metri,it
poi,it
svoltare,it
a,it
sinistra,it
su,it
Durley,en
Chine,en
Road,en
Continua,it
dritto,it
su,it
Durley,en
Chine,en
Road,en
per,it
circa,it
chilometro,it
poi,it
svoltare,it
a,it
sinistra,it
su,it
West,en
Cliff,en
Road,en
